
Realization 0
            Restr. 0  Restr. 1  Restr. 2 Transf. 0 Transf. 0 Transf. 0
      Week   Multip.   Multip.   Multip.  Alloc. 1  Alloc. 2  Alloc. 0
        81         1         1         1         0         0         0
        82         1       0.8         1         0         0         0
        83         1       0.8         1         0         0         0
        84         1       0.6         1         5         0         5
        85         1       0.6         1         5         0         5
        86         1       0.6         1         5         0         5
        87         1       0.6         1         5         0         5
        88         1       0.6         1         5         0         5
        89         1       0.6         1         5         0         5
        90         1       0.6         1         5         0         5
        91         1       0.6         1         5         0         5
        92         1       0.6         1         5         0         5
        93         1       0.6         1         5         0         5
        94         1       0.6         1         5         0         5
        95         1       0.6         1         5         0         5
        96         1       0.6         1         5         0         5
        97         1       0.6         1         5         0         5
        98         1       0.6         1         5         0         5
        99         1       0.8         1         0         0         0
       100         1       0.8         1         0         0         0
       101         1       0.8         1         0         0         0
       102         1       0.6         1         5         0         5
       103         1       0.6         1     4.914         0     4.914
