Realization 0
     
      Week             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q
        34               85.67     2.708         0     1.982         3               294.6     1.564         0     0.408         3               359.2     11.05         6     1.574         2               423.5     9.682         4     0.408         3               358.7      1.89         0     1.574         2
        35               82.91     2.639         0     2.885         3               292.9     1.543         0     2.799         3               352.2     11.06         6   0.08586         2               417.7     9.632         4     2.799         3               354.9     1.879         0   0.08586         2
        36               81.14     2.758         0     3.984         3               291.8     1.757         0     3.655         3               344.9     11.72         6    0.3284         2                 412     10.33         4     3.655         3               351.1     2.129         0    0.3284         2
        37                80.3     2.535         0     4.701         3               291.6     1.446         0     4.314         3               338.5     10.78         6    0.3866         2                 408     9.279         4     4.314         3               347.7      1.74         0    0.3866         2
        38               76.01     2.574         0     1.284         3               287.3     1.484         0    0.1548         3               332.7     10.85         6     1.129         2               399.8     9.382         4    0.1548         3               345.1      1.77         0     1.129         2
        39               74.28     2.523         0     3.785         3               284.5     1.518         0     1.739         3               327.7     11.05         6     2.046         2                 393     9.512         4     1.739         3               343.3     1.823         0     2.046         2
        40               71.72     2.506         0     2.946         3               280.4     1.512         0    0.4301         3               323.2     11.06         6     2.516         2               384.9     9.506         4    0.4301         3                 342     1.825         0     2.516         2
        41               75.65     2.548         0     9.484         3               275.9     1.856         0    0.3386         3               324.9     11.48         6     9.146         2               380.2     6.072         4    0.3386         3               346.9     2.263         0     9.146         2
        42               81.65     2.589         0     11.58         3               271.7     1.716         0     0.536         3               328.8     11.12         6     11.05         2               375.8     5.895         4     0.536         3               353.8     2.158         0     11.05         2
        43               79.38     2.593         0     3.325         3               267.6     1.508         0    0.3798         3               325.3     10.44         6     2.945         2               371.8     5.426         4    0.3798         3               352.8     1.964         0     2.945         2
        44               92.04     2.539         0      18.2         3               264.9     1.474         0      1.79         3               335.3     10.41         6     16.41         2               369.2     5.362         4      1.79         3               365.2     1.943         0     16.41         2
        45               95.78      2.65         0     9.393         3               261.7     1.086         0    0.8906         3               338.1     9.656         6     8.502         2               362.7     8.376         4    0.8906         3               370.2     1.498         0     8.502         2
        46                 100     2.632         0     83.74     76.88               259.6    0.9756         0     1.809         3                 400     9.294     79.88     81.93     90.66               446.2     8.033     92.66     1.809         3               448.8      1.38         0     81.93         2
        47                 100     1.803         0     46.12     44.32                 258     3.303         0     4.713         3                 400     7.211     47.32     41.41     81.52               522.4     9.013     83.52     4.713         3               482.5     5.711         0     41.41         2
        48                 100     1.814         0     116.1     114.3               257.4      3.16         0     5.596         3                 400     7.257     117.3     110.5     220.5                 550     9.071     307.6     5.596     276.5                 500      5.91         0     110.5     87.07
        49                 100     1.781         0     35.76     33.98               271.2     3.027         0     19.77         3                 400     7.126     36.98     15.99     45.84                 550     8.907     55.95     19.77     66.81                 500      5.88         0     15.99     10.11
        50                 100     1.764         0     46.42     44.66               283.9     3.102         0     18.87         3                 400     7.057     47.66     27.55     68.15                 550     8.821     89.98     18.87       100                 500     5.719         0     27.55     21.83
        51                 100     1.638         0     120.7       119               291.4     2.966         0     13.43         3                 400     6.552       122     107.2     222.7                 550      8.19     324.8     13.43       330                 500     5.224         0     107.2       102
        52                 100     1.812         0     85.57     83.76               310.7     3.337         0     25.65         3                 400     7.249     86.76     59.92     139.4                 550     9.062     193.6     25.65     210.2                 500     5.725         0     59.92     54.19
        53                 100      1.79         0      82.2     80.41               344.9     3.431         0     40.61         3                 400     7.161     83.41      41.6     117.8                 550     8.952     153.9     40.61     185.6                 500     5.521         0      41.6     36.08
        54                 100     1.815         0     77.38     75.56               343.9     3.704         0     5.676         3                 400      7.26     78.56      71.7       143                 550     9.075     209.3     5.676     205.9                 500     5.371         0      71.7     66.33
        55                 100     1.803         0     61.29     59.49               344.4     3.673         0     7.192         3                 400     7.212     62.49      54.1     109.4                 550     9.015     158.1     7.192     156.3                 500     5.341         0      54.1     48.76
        56                 100     1.835         0     32.19     30.35               353.8     3.741         0     16.15         3                 400     7.339     33.35     16.04     42.05                 550     9.174     52.66     16.15     59.64                 500     5.432         0     16.04     10.61
        57                 100     1.776         0     20.76     18.98               353.8     3.679         0     6.652         3                 400     7.102     21.98     14.11     28.99                 550     8.878     37.89     6.652     35.67                 500     5.199         0     14.11     8.907
        58                 100     1.816         0     35.94     34.12               358.9     3.761         0     11.88         3                 400     7.262     37.12     24.06     53.92                 550     9.078     72.67     11.88     75.47                 500     5.316         0     24.06     18.75
        59                 100     1.872         0     34.65     32.78               364.3     3.912         0     12.38         3                 400     7.489     35.78     22.27     50.56                 550     9.362     67.38     12.38      70.4                 500      5.45         0     22.27     16.82
        60                 100     2.018         0     27.12      25.1                 375     4.253         0     23.38     8.469                 400     8.071     33.57     3.742     29.24                 550     10.09     31.24     23.38     44.53               495.9     5.836         0     3.742         2
        61                 100     1.811         0     63.02     61.21                 375     3.899         0     23.84     19.94                 400     7.244     81.15     39.18     113.1                 550     9.056       143     23.84     157.8                 500     5.156         0     39.18     29.93
        62                 100      1.84         0     30.19     28.35                 375     3.943         0     27.17     23.22                 400     7.361     51.57     3.019     47.23                 550     9.201     49.23     27.17     67.19               495.8     5.258         0     3.019         2
        63                 100     1.871         0     23.12     21.25                 375     4.028         0     18.02        14                 400     7.482     35.25     5.101     32.87                 550     9.353     34.87     18.02     43.54               493.5     5.325         0     5.101         2
        64                 100     1.781         0     11.73     9.945                 375     3.844         0     9.221     5.376                 400     7.123     15.32     2.505      10.7                 550     8.904      12.7     9.221     13.02                 489     5.059         0     2.505         2
        65                 100     1.863         0     31.92     30.06                 375     4.044         0     28.54      24.5                 400     7.454     54.55     3.381     50.48                 550     9.317     52.48     28.54      71.7               485.1     5.273         0     3.381         2
        66                 100     1.848         0     30.91     29.07                 375     4.029         0     27.76     23.73                 400     7.393     52.79     3.156     48.56                 550     9.241     50.56     27.76     69.07                 481     5.212         0     3.156         2
        67                 100     1.861         0      15.4     13.54               373.4     4.077         0     5.447         3                 400     7.445     16.54     9.954     19.05                 550     9.307     21.05     5.447     17.19               483.8      5.23         0     9.954         2
        68                 100     1.901         0     85.29     83.38                 375     4.141         0     45.21     39.44                 400     7.606     122.8     40.07     155.3                 550     9.507     173.8     45.21     209.5                 500     5.366         0     40.07     18.47
        69                 100     1.997         0     47.68     45.68                 375     4.279         0     31.33     27.05                 400     7.987     72.73     16.35     81.09                 550     9.983     91.74     31.33     113.1                 500     5.705         0     16.35     10.64
        70                 100     1.998         0     21.74     19.75                 375     4.282         0     8.689     4.407                 400     7.993     24.15     13.05     29.21                 550     9.991     36.56     8.689     35.26                 500     5.709         0     13.05     7.346
        71                 100     1.972         0     13.43     11.46                 375     4.225         0      8.15     3.924                 400     7.887     15.38     5.281     12.78                 550     9.859     14.78      8.15     13.07               497.6     5.634         0     5.281         2
