0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_3,1alloc_4,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4s_area,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,6alloc_0,6alloc_1,6alloc_2,6alloc_3,6alloc_4,7volume,7demand,7up_spill,7ww_inflow,7catch_inflow,7evap,7ds_spill,8volume,8demand,8up_spill,8ww_inflow,8catch_inflow,8evap,8ds_spill,9volume,9demand,9up_spill,9ww_inflow,9catch_inflow,9evap,9ds_spill,10demand,10up_spill,10ww_inflow,10catch_inflow,10ds_spill,11volume,11s_area,11demand,11up_spill,11ww_inflow,11catch_inflow,11evap,11ds_spill,18demand,19demand
6349,1,186,0,0,1442.49,-156.491,1368.91,14700,1,326.095,1368.91,64.4676,4037.1,-21.0266,4776.14,14700,20000,2789.66,62.9536,0,0,111.29,5.20996,43.1264,200,1,2.74003,0,0,13.7916,-1.4639,10.924,2909,1,39.8693,0,0,360.88,-73.195,372.184,449,1,6.20071,0,0,329.849,-31.0347,354.683,10297.6,157.551,737.791,175.393,23338,-2040.68,26134.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,68.736,0,68.736,0,0,5184.6,0,63.5,0,5248.1,0,0,1368.91,0,0,0,1368.91,0,5248.1,0,4037.1,9285.2,0,1,0,35531.4,0,0,0,35531.4,15.4,63.7
6349,1,166.828,0,0,728.3,-15.0889,576.561,14700,1,298.046,576.561,63.2512,1912.7,-266.033,2520.5,14700,20000,2789.66,56.561,0,0,157.48,-46.7501,147.669,200,1,2.91763,0,0,6.5784,-0.14115,3.80192,2909,1,42.4369,0,0,172.135,-7.0575,136.755,449,1,6.55008,0,0,157.333,-2.99238,153.776,10297.6,151.129,294.333,169.194,10127,-196.763,10636.2,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,73.932,0,73.932,0,0,2905.63,0,8.3,0,2913.93,0,0,576.561,0,0,0,576.561,0,2913.93,0,1912.7,4826.63,0,1,0,15684.4,0,0,0,15684.4,15.4,63.7
6349,1,194.25,0,0,1148.83,22.9204,931.66,14700,1,299.431,931.66,56.0023,3653.2,-494.139,4835.57,14700,20000,2789.66,56.8238,0,0,275.1,-21.1499,239.426,200,1,3.10312,0,0,9.576,0.21441,6.25847,2909,1,45.1349,0,0,250.572,10.7205,194.717,449,1,6.96651,0,0,229.026,4.54549,217.514,10297.6,152.534,418.489,156.26,15014,298.888,15137.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,144.91,0,144.91,0,0,5179.69,0,1404.5,0,6584.19,0,0,931.66,0,0,0,931.66,0,6584.19,0,3653.2,10237.4,0,1,0,25759.1,0,0,0,25759.1,15.4,63.7
6349,1,169.241,0,0,425.43,5.4224,250.767,14700,1,284.608,250.767,60.2233,1133.4,13.7341,1146.05,14700,20000,2789.66,54.0109,0,0,123.69,7.01001,62.6691,200,1,2.62056,0,0,3.306,0.050724,0.63472,2909,1,38.116,0,0,86.507,2.5362,45.8548,449,1,5.88315,0,0,79.0685,1.07535,72.11,10297.6,157.213,118.6,156.824,4554.4,70.7093,4601.9,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,77.687,0,77.687,0,0,1456.02,0,813.7,0,2269.72,0,0,250.767,0,0,0,250.767,0,2269.72,0,1133.4,3403.12,0,1,0,8145.38,0,0,0,8145.38,15.4,63.7
6349,1,185.791,0,0,271.91,-1.13784,87.2569,14700,1,287.259,87.2569,52.4697,612.4,162.056,302.811,14700,20000,2789.66,54.514,0,0,124.2,14.4399,55.2461,199.004,1,3.04134,0,0,2.0352,-0.010644,0,2905.97,1,44.2364,0,0,53.2544,-0.5322,12.579,449,1,6.82782,0,0,48.6752,-0.225653,42.073,10297.6,147.353,54.652,135.348,2546.2,-14.8377,2603.68,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,58.802,0,58.802,0,0,597.44,0,565.7,0,1163.14,0,0,87.2569,0,0,0,87.2569,0,1163.14,0,612.4,1775.54,0,1,0,4493.27,0,0,0,4493.27,15.4,63.7
6349,1,186.36,0,0,264.9,17.0687,61.471,14700,1,311.604,61.471,57.6008,585.7,60.4909,332.677,14700,20000,2789.66,59.1339,0,0,195.55,13.4301,122.986,197.967,1,2.80263,0,0,1.9248,0.15967,0,2894.85,1,40.9255,0,0,50.3656,7.9835,12.579,449,1,6.32337,0,0,46.0348,3.385,36.3264,10297.6,168.861,48.9054,151.131,2426.2,222.58,2234.8,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,55.538,0,55.538,0,0,630.05,0,405.6,0,1035.65,0,0,61.471,0,0,0,61.471,0,1035.65,0,585.7,1621.35,0,1,0,4034.67,0,0,0,4034.67,15.4,63.7
6349,1,203.106,0,0,721.61,18.3921,500.112,14700,1,329.042,500.112,57.7773,2388.3,-634.175,3251.32,14700,20000,2789.66,62.4432,0,0,719.15,-81.9904,738.697,199.892,1,3.27312,0,0,5.37,0.17205,0,2909,1,47.8624,0,0,140.515,8.6025,69.8989,449,1,7.42361,0,0,128.432,3.64746,117.361,10297.6,172.588,187.26,147.922,3925.5,239.838,3848.26,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,112.77,0,112.77,0,0,3573.9,0,89.7,0,3663.6,0,0,500.112,0,0,0,500.112,0,3663.6,0,2388.3,6051.9,0,1,0,10751.6,0,0,0,10751.6,15.4,63.7
6349,1,190.673,0,0,3121.4,10.4499,2920.28,14700,1,339.762,2920.28,52.4278,9868.4,-132.53,12633.9,14700,20000,2789.66,64.4776,0,0,491.33,-33.6204,460.473,200,1,3.41337,0,0,19.9752,0.097754,16.3559,2909,1,49.6743,0,0,522.684,4.8877,468.122,449,1,7.66716,0,0,477.74,2.07238,468.001,10297.6,150.866,952.479,147.982,10516,136.269,11329.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,379.88,0,379.88,0,0,12933.7,0,825.7,0,13759.4,0,0,2920.28,0,0,0,2920.28,0,13759.4,0,9868.4,23627.8,0,1,0,35797.5,0,0,0,35797.5,15.4,63.7
6349,1,212.246,0,0,3210.12,-33.6724,3031.55,14700,1,378.742,3031.55,47.6682,11700,-253.602,14654.1,14700,20000,2789.66,71.8749,0,0,1008.7,-15.6097,952.435,200,1,2.94713,0,0,24.6396,-0.31499,22.0075,2909,1,42.866,0,0,644.736,-15.7495,617.62,449,1,6.61631,0,0,589.297,-6.67779,589.359,10297.6,162.226,1228.99,140.903,16449,-439.096,18095.8,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,761.9,0,761.9,0,0,14957.3,0,2607.1,0,17564.4,0,0,3031.55,0,0,0,3031.55,0,17564.4,0,11700,29264.4,0,1,0,49074.4,0,0,0,49074.4,15.4,63.7
6349,1,217.97,0,0,523.32,-3.77357,309.123,14700,1,395.307,309.123,53.0616,1794.7,112.521,1649.06,14700,20000,2789.66,75.0186,0,0,234.18,10.01,149.151,200,1,3.24155,0,0,4.2612,-0.0353,1.05495,2909,1,47.1483,0,0,111.501,-1.765,66.1181,449,1,7.27728,0,0,101.914,-0.74836,95.3848,10297.6,182.956,162.558,145.445,6446.6,-49.2082,6620.86,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,153.37,0,153.37,0,0,1987.02,0,473.6,0,2460.62,0,0,309.123,0,0,0,309.123,0,2460.62,0,1794.7,4255.32,0,1,0,11178.7,0,0,0,11178.7,15.4,63.7
6349,1,250.865,0,0,2587.41,16.546,2320,14700,1,432.488,2320,54.4926,9467.4,-338.162,11747.6,14700,20000,2789.66,82.0745,0,0,1007.2,-40.9895,966.115,200,1,3.39181,0,0,20.556,0.15478,17.0094,2909,1,49.3339,0,0,537.882,7.739,480.809,449,1,7.61462,0,0,491.631,3.28134,480.735,10297.6,201.685,978.554,152.236,16762,215.763,17475.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,670.33,0,670.33,0,0,12100.3,0,2174,0,14274.3,0,0,2320,0,0,0,2320,0,14274.3,0,9467.4,23741.7,0,1,0,42853.5,0,0,0,42853.5,15.4,63.7
6349,1,259.51,0,0,602.32,-6.3861,349.196,14700,1,342.791,349.196,60.4784,1600.1,-66.3294,1733.31,14700,20000,2789.66,65.0524,0,0,329.62,-8.50998,273.078,200,1,3.22172,0,0,4.6068,-0.059739,1.44482,2909,1,46.8599,0,0,120.545,-2.98695,76.6717,449,1,7.23275,0,0,110.179,-1.26647,104.213,10297.6,193.87,182.33,163.337,4613.7,-83.2762,4848.77,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,271.49,0,271.49,0,0,2103.38,0,1122.6,0,3225.98,0,0,349.196,0,0,0,349.196,0,3225.98,0,1600.1,4826.08,0,1,0,10219.4,0,0,0,10219.4,15.4,63.7
6349,1,218.629,0,0,603.3,19.1586,365.512,14700,1,537.368,365.512,59.6796,1532.1,51.3872,1368.54,14700,20000,2789.66,101.978,0,0,250.57,6.51002,142.082,200,1,3.21137,0,0,4.38,0.17922,0.989406,2909,1,46.7094,0,0,114.61,8.961,58.9396,449,1,7.20954,0,0,104.755,3.79946,93.746,10297.6,231.55,153.675,155.745,4416.7,249.833,4244.74,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,205.55,0,205.55,0,0,1645.85,0,848.1,0,2493.95,0,0,365.512,0,0,0,365.512,0,2493.95,0,1532.1,4026.05,0,1,0,8618.42,0,0,0,8618.42,15.4,63.7
6349,1,220.639,0,0,481.38,-0.580552,261.322,14700,1,450.627,261.322,50.2782,1175.7,88.7234,947.949,14700,20000,2789.66,85.5168,0,0,205.4,7.91003,111.973,200,1,3.25685,0,0,3.4956,-0.0054308,0.244181,2909,1,47.3709,0,0,91.4682,-0.27154,44.3689,449,1,7.31163,0,0,83.6031,-0.115133,76.4066,10297.6,178.752,121.02,137.225,3236.3,-7.57053,3323.36,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,137.76,0,137.76,0,0,1382.67,0,507,0,1889.67,0,0,261.322,0,0,0,261.322,0,1889.67,0,1175.7,3065.37,0,1,0,6638.47,0,0,0,6638.47,15.4,63.7
6349,1,229.276,0,0,609.1,-45.1556,424.979,14700,1,400.316,424.979,50.7403,1511.6,-75.6436,1662.65,14700,20000,2789.66,75.9692,0,0,314.54,-13.5101,252.081,200,1,3.68614,0,0,4.35,-0.42241,1.08627,2909,1,53.6149,0,0,113.825,-21.1205,81.3306,449,1,8.27538,0,0,104.037,-8.95509,104.717,10297.6,182.585,187.134,138.679,3948,-588.84,4680.07,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,174.77,0,174.77,0,0,2027.2,0,554.4,0,2581.6,0,0,424.979,0,0,0,424.979,0,2581.6,0,1511.6,4093.2,0,1,0,9200.12,0,0,0,9200.12,15.4,63.7
6349,1,248.722,0,0,591.676,-85.4135,428.367,14700,1,456.152,428.367,53.0683,889.584,151.765,763.103,14700,20000,2789.66,86.5651,0,0,228.26,-12.644,154.339,200,1,3.87788,0,0,3.42992,-0.799003,0.351043,2909,1,56.4038,0,0,89.7495,-39.9502,73.2959,449,1,8.70584,0,0,82.0322,-16.9389,90.2652,10297.6,192.753,163.912,146.974,3852.82,-1113.81,5084.77,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,66.7554,0,66.7554,0,0,1086.24,0,107.308,0,1193.55,0,0,428.367,0,0,0,428.367,0,1193.55,0,889.584,2083.13,0,1,0,7388.99,0,0,0,7388.99,15.4,63.7
6349,1,254.541,0,0,2246.4,-4.27338,1996.13,14700,1,383.758,1996.13,59.6659,3267.1,-471.407,5410.55,14700,20000,2789.66,72.8268,0,0,509.097,-20.879,457.15,200,1,3.2258,0,0,14.6414,-0.0399755,11.4556,2909,1,46.9192,0,0,383.117,-1.99877,338.197,449,1,7.24191,0,0,350.174,-0.847481,343.78,10297.6,172.22,693.432,153.203,9813.55,-55.7258,10543.7,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,110.807,0,110.807,0,0,5774.17,0,122.625,0,5896.8,0,0,1996.13,0,0,0,1996.13,0,5896.8,0,3267.1,9163.9,0,1,0,20275.5,0,0,0,20275.5,15.4,63.7
