0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,3st_vol,3capacity,3net_inf,3st_rof,3lt_rof,3rest_demand,3unrest_demand,3unfulf_demand,3wastewater,3treat_capacity,3cont_fund,3ins_pout,3ins_price,3infra_npv,3debt_serv
3558,3558,489.174,0,0,44.6641,44.6641,0,50.183,299997,0.0387904,0,0,0,0,6349,6349,1148.83,0,0.02,205.827,205.827,0,179.5,99999,0.0909279,0,0,0,0,3943.75,3943.75,1294.27,0,0,142.319,142.319,0,0,448,1.56962,0,0,0,0,17489.7,17489.7,1822.71,0,0,374.545,374.545,0,374.32,199998,0.262592,0,0,0,0
3558,3558,168.882,0,0,52.7641,52.7641,0,38.8618,299997,0.0418966,0,0,0,0,6349,6349,425.43,0,0.02,198.309,198.309,0,179.088,99999,0.0983665,0,0,0,0,3943.75,3943.75,392.607,0,0,167.099,167.099,0,0,448,1.70827,0,0,0,0,17489.7,17489.7,603.834,0,0,389.526,389.526,0,325.888,199998,0.283252,0,0,0,0
3551.61,3558,103.965,0,0,56.8153,56.8153,0,45.9095,299997,0.045268,0,0,0,0,6349,6349,271.91,0,0.02,183.566,183.566,0,172.547,99999,0.105387,0,0,0,0,3943.75,3943.75,219.493,0,0,134.658,134.658,0,0,448,1.82372,0,0,0,0,17489.7,17489.7,383.632,0,0,326.682,326.682,0,338.923,199998,0.300315,0,0,0,0
3538.17,3558,98.3252,0,0,51.5198,51.5198,0,49.4344,299997,0.0483251,0,0,0,0,6349,6349,264.9,0,0.02,195.119,195.119,0,159.719,99999,0.112849,0,0,0,0,3943.75,3943.75,209.148,0,0,147.19,147.19,0,0,448,1.94991,0,0,0,0,17489.7,17489.7,443.671,0,0,375.456,375.456,0,284.243,199998,0.319926,0,0,0,0
3557.97,3558,274.317,0,0,53.0496,53.0496,0,44.8269,299997,0.0514731,0,0,0,0,6349,6349,721.61,0,0.02,206.878,206.878,0,169.771,99999,0.120761,0,0,0,0,3943.75,3943.75,338.394,0,0,178.758,178.758,0,0,448,2.10317,0,0,0,0,17489.7,17489.7,1730.91,0,0,427.283,427.283,0,326.681,199998,0.342243,0,0,0,0
3558,3558,1020.4,0,0,52.4437,52.4437,0,40.6307,299997,0.0545851,0,0,0,0,6349,6349,3121.4,0,0.02,206.078,206.078,0,158.448,99999,0.128643,0,0,0,0,3943.75,3943.75,906.521,0,0,146.57,146.57,0,0,448,2.22883,0,0,0,0,17489.7,17489.7,4671.89,0,0,348.081,348.081,0,327.256,199998,0.360424,0,0,0,0
3558,3558,1258.67,0,0,50.6978,50.6978,0,39.3328,299997,0.0594216,0,0,0,0,6349,6349,3210.12,0,0.02,233.622,233.622,0,154.558,99999,0.137397,0,0,0,0,3943.75,3943.75,1417.97,0,0,150.552,150.552,0,0,448,2.35353,0,0,0,0,17489.7,17489.7,5965.18,0,0,442.222,442.222,0,261.06,199998,0.382511,0,0,0,0
3558,3558,217.676,0,0,52.0081,52.0081,0,38.0234,299997,0.0643832,0,0,0,0,6349,6349,523.32,0,0.02,210.778,210.778,0,175.217,99999,0.145295,0,0,0,0,3943.75,3943.75,555.723,0,0,236.11,236.11,0,0,448,2.54911,0,0,0,0,17489.7,17489.7,994.471,0,0,347.724,347.724,0,331.667,199998,0.399878,0,0,0,0
3558,3558,1050.07,0,0,48.918,48.918,0,39.0061,299997,0.0690499,0,0,0,0,6349,6349,2587.41,0,0.02,205.921,205.921,0,158.083,99999,0.153011,0,0,0,0,3943.75,3943.75,1444.95,0,0,192.328,192.328,0,0,448,2.70842,0,0,0,0,17489.7,17489.7,5017.89,0,0,537.786,537.786,0,260.793,199998,0.426739,0,0,0,0
3558,3558,235.331,0,0,70.9185,70.9185,0,35.1813,299997,0.0758155,0,0,0,0,6349,6349,602.32,0,0.02,168.683,168.683,0,148.096,99999,0.159332,0,0,0,0,3943.75,3943.75,397.719,0,0,179.872,179.872,0,0,448,2.85741,0,0,0,0,17489.7,17489.7,1007.47,0,0,477.374,477.374,0,386.771,199998,0.450582,0,0,0,0
3558,3558,223.745,0,0,59.9666,59.9666,0,48.2211,299997,0.0817812,0,0,0,0,6349,6349,603.3,0,0.02,159.425,159.425,0,114.696,99999,0.165109,0,0,0,0,3943.75,3943.75,380.737,0,0,231.92,231.92,0,0,448,3.0413,0,0,0,0,17489.7,17489.7,899.615,0,0,593.305,593.305,0,324.59,199998,0.480185,0,0,0,0
3558,3558,178.567,0,0,56.3063,56.3063,0,40.7743,299997,0.0873828,0,0,0,0,6349,6349,481.38,0,0.02,242.868,242.868,0,108.401,99999,0.173909,0,0,0,0,3943.75,3943.75,278.982,0,0,212.555,212.555,0,0,448,3.20984,0,0,0,0,17489.7,17489.7,703.463,0,0,436.712,436.712,0,403.418,199998,0.501975,0,0,0,0
3558,3558,222.212,0,0,65.4776,65.4776,0,38.2855,299997,0.0938968,0,0,0,0,6349,6349,609.1,0,0.02,227.746,227.746,0,165.138,99999,0.182161,0,0,0,0,3943.75,3943.75,340.333,0,0,189.587,189.587,0,0,448,3.36016,0,0,0,0,17489.7,17489.7,954.901,0,0,486.19,486.19,0,296.942,199998,0.526234,0,0,0,0
3544.98,3558,94.9418,0,0,65.8136,65.8136,0,44.4233,299997,0.100444,0,0,0,0,6349,6349,592.288,0,0.02,217.672,217.672,0,154.515,99999,0.190048,0,0,0,0,3943.75,3943.75,216.751,0,0,192.913,192.913,0,0,448,3.51312,0,0,0,0,17391.3,17489.7,440.301,0,0,600.999,600.999,0,329.855,199998,0.556222,0,0,0,0
3557.96,3558,250.402,0,0,61.7738,61.7738,0,44.0958,299997,0.10659,0,0,0,0,6349,6349,1134.64,0,0.02,211.32,211.32,0,145.843,99999,0.197706,0,0,0,0,3943.75,3943.75,165.072,0,0,183.226,183.226,0,0,448,3.65841,0,0,0,0,17324,17489.7,443.424,0,0,444.267,444.267,0,402.675,199998,0.578389,0,0,0,0
3558,3558,698.576,0,0,62.8768,62.8768,0,41.389,299997,0.112802,0,0,0,0,6349,6349,3976.13,0,0.02,237.965,237.965,0,141.586,99999,0.206895,0,0,0,0,3943.75,3943.75,287.655,0,0,204.765,204.765,0,0,448,3.83341,0,0,0,0,17261,17489.7,1373.29,0,0,486.223,486.223,0,297.664,199998,0.602984,0,0,0,0
3558,3558,547.328,0,0,60.5111,60.5111,0,42.1281,299997,0.11878,0,0,0,0,6349,6349,3343.16,0,0.02,245.167,245.167,0,159.439,99999,0.216363,0,0,0,0,3943.75,3943.75,311.036,0,0,193.863,193.863,0,0,448,3.9991,0,0,0,0,17201.6,17489.7,2255.78,0,0,537.693,537.693,0,325.774,199998,0.630182,0,0,0,0
3558,3558,3621.14,0,0,62.8118,62.8118,0,40.543,299997,0.124986,0,0,0,0,6349,6349,14085,0,0.02,219.989,219.989,0,164.265,99999,0.224858,0,0,0,0,3943.75,3943.75,874.649,0,0,194.516,194.516,0,0,448,4.16535,0,0,0,0,17213.4,17489.7,10012.4,0,0,525.122,525.122,0,360.26,199998,0.656745,0,0,0,0
3558,3558,913.006,0,0,62.5649,62.5649,0,42.5242,299997,0.131167,0,0,0,0,6349,6349,2013.09,0,0.02,233.825,233.825,0,148.934,99999,0.233888,0,0,0,0,3943.75,3943.75,781.75,0,0,193.876,193.876,0,0,448,4.33105,0,0,0,0,17182.9,17489.7,1737.16,0,0,391.986,391.986,0,355.513,199998,0.676573,0,0,0,0
3558,3558,645.694,0,0,63.439,63.439,0,42.5447,299997,0.137157,0,0,0,0,6349,6349,1283.21,0,0.02,223.475,223.475,0,159.003,99999,0.242603,0,0,0,0,3943.75,3943.75,401.608,0,0,231.844,231.844,0,0,448,4.52981,0,0,0,0,17118.5,17489.7,811.365,0,0,463.254,463.254,0,266.554,199998,0.701001,0,0,0,0
3558,3558,226.356,0,0,58.6449,58.6449,0,43.1392,299997,0.142694,0,0,0,0,6349,6349,534.128,0,0.02,240.597,240.597,0,151.965,99999,0.251986,0,0,0,0,3943.75,3943.75,218.391,0,0,193.919,193.919,0,0,448,4.69606,0,0,0,0,17070.3,17489.7,431.872,0,0,511.438,511.438,0,315.018,199998,0.727971,0,0,0,0
3558,3558,2454.92,0,0,60.3968,60.3968,0,39.8791,299997,0.148396,0,0,0,0,6349,6349,5363.8,0,0.02,240.8,240.8,0,163.609,99999,0.261377,0,0,0,0,3943.75,3943.75,2694.34,0,0,201.926,201.926,0,0,448,4.86917,0,0,0,0,17064.6,17489.7,3598.6,0,0,465.989,465.989,0,347.783,199998,0.752544,0,0,0,0
3558,3558,1346.68,0,0,57.2129,57.2129,0,39.9881,299997,0.153798,0,0,0,0,6349,6349,3531.03,0,0.02,211.988,211.988,0,159.431,99999,0.269644,0,0,0,0,3943.75,3943.75,2456.68,0,0,213.073,213.073,0,0,448,5.05184,0,0,0,0,17107.3,17489.7,1729.19,0,0,433.344,433.344,0,308.527,199998,0.775396,0,0,0,0
