0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_3,1alloc_4,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4s_area,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,6alloc_0,6alloc_1,6alloc_2,6alloc_3,6alloc_4,7volume,7demand,7up_spill,7ww_inflow,7catch_inflow,7evap,7ds_spill,8volume,8demand,8up_spill,8ww_inflow,8catch_inflow,8evap,8ds_spill,9volume,9demand,9up_spill,9ww_inflow,9catch_inflow,9evap,9ds_spill,10demand,10up_spill,10ww_inflow,10catch_inflow,10ds_spill,11volume,11s_area,11demand,11up_spill,11ww_inflow,11catch_inflow,11evap,11ds_spill,18demand,19demand
6349,1,176.687,0,0,1442.49,-156.491,1384.29,14700,266.382,1384.29,62.4045,4037.1,-21.0334,4869.4,14700,20000,2789.66,51.3618,0,0,111.29,5.20996,54.7182,200,1,2.8815,0,0,13.7916,-1.4639,11.0652,2909,1,41.9278,0,0,360.88,-73.195,374.237,449,1,6.51158,0,0,329.849,-31.0347,354.372,10297.6,126.425,739.674,166.473,23338,-2040.68,26158.4,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,68.736,0,68.736,0,0,5258.48,0,63.5,0,5321.98,0,0,1384.29,0,0,0,1384.29,0,5321.98,0,4037.1,9359.08,0,1,0,35640.9,0,0,0,35640.9,15.4,63.7
6349,1,184.972,0,0,728.3,-15.0889,558.417,14700,324.204,558.417,60.0843,1912.7,-266.033,2473.03,14700,20000,2789.66,61.5252,0,0,157.48,-46.7501,142.705,200,1,2.90684,0,0,6.5784,-0.14115,3.81271,2909,1,42.28,0,0,172.135,-7.0575,136.912,449,1,6.52586,0,0,157.333,-2.99238,153.8,10297.6,140.703,294.525,165.628,10127,-196.763,10643.2,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,73.932,0,73.932,0,0,2787.57,0,8.3,0,2795.87,0,0,558.417,0,0,0,558.417,0,2795.87,0,1912.7,4708.57,0,1,0,15568.4,0,0,0,15568.4,15.4,63.7
6349,1,205.827,0,0,1148.83,22.9204,920.082,14700,314.804,920.082,62.0931,3653.2,-494.139,4814.71,14700,20000,2789.66,59.7411,0,0,275.1,-21.1499,236.509,200,1,2.51063,0,0,9.576,0.21441,6.85096,2909,1,36.5171,0,0,250.572,10.7205,203.334,449,1,5.63636,0,0,229.026,4.54549,218.844,10297.6,142.319,429.03,167.59,15014,298.888,15169.4,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,144.91,0,144.91,0,0,5189.03,0,1404.5,0,6593.53,0,0,920.082,0,0,0,920.082,0,6593.53,0,3653.2,10246.7,0,1,0,25797.6,0,0,0,25797.6,15.4,63.7
6349,1,198.309,0,0,425.43,5.4224,221.698,14700,327.395,221.698,63.8126,1133.4,13.7341,1077.78,14700,20000,2789.66,62.1307,0,0,123.69,7.01001,54.5493,200,1,2.96594,0,0,3.306,0.050724,0.289336,2909,1,43.1396,0,0,86.507,2.5362,40.8312,449,1,6.65853,0,0,79.0685,1.07535,71.3346,10297.6,167.099,112.455,154.137,4554.4,70.7093,4583.18,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,77.687,0,77.687,0,0,1403.67,0,813.7,0,2217.37,0,0,221.698,0,0,0,221.698,0,2217.37,0,1133.4,3350.77,0,1,0,8066.19,0,0,0,8066.19,15.4,63.7
6349,1,183.566,0,0,271.91,-1.13784,89.4815,14700,274.575,89.4815,61.4818,612.4,162.056,326.732,14700,20000,2789.66,52.1069,0,0,124.2,14.4399,57.6531,198.852,1,3.19366,0,0,2.0352,-0.010644,0,2903.76,1,46.4518,0,0,53.2544,-0.5322,12.579,449,1,7.16978,0,0,48.6752,-0.225653,41.7311,10297.6,134.658,54.3101,156.975,2546.2,-14.8377,2637.66,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,58.802,0,58.802,0,0,665.655,0,565.7,0,1231.35,0,0,89.4815,0,0,0,89.4815,0,1231.35,0,612.4,1843.75,0,1,0,4597.87,0,0,0,4597.87,15.4,63.7
6349,1,195.119,0,0,264.9,17.0687,52.7126,14700,315.57,52.7126,56.9111,585.7,60.4909,319.263,14700,20000,2789.66,59.8865,0,0,195.55,13.4301,122.233,197.733,1,2.88456,0,0,1.9248,0.15967,0,2891.44,1,42.122,0,0,50.3656,7.9835,12.579,449,1,6.51322,0,0,46.0348,3.385,36.1366,10297.6,147.19,48.7156,152.243,2426.2,222.58,2257.39,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,55.538,0,55.538,0,0,603.506,0,405.6,0,1009.11,0,0,52.7126,0,0,0,52.7126,0,1009.11,0,585.7,1594.81,0,1,0,4029.97,0,0,0,4029.97,15.4,63.7
6349,1,206.878,0,0,721.61,18.3921,496.34,14700,359.13,496.34,60.4926,2388.3,-634.175,3220.18,14700,20000,2789.66,68.1531,0,0,719.15,-81.9904,732.987,199.966,1,2.96471,0,0,5.37,0.17205,0,2909,1,43.3528,0,0,140.515,8.6025,70.9965,449,1,6.73209,0,0,128.432,3.64746,118.053,10297.6,178.758,189.049,154.105,3925.5,239.838,3850.06,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,112.77,0,112.77,0,0,3546.86,0,89.7,0,3636.56,0,0,496.34,0,0,0,496.34,0,3636.56,0,2388.3,6024.86,0,1,0,10720.7,0,0,0,10720.7,15.4,63.7
6349,1,206.078,0,0,3121.4,10.4499,2904.87,14700,292.56,2904.87,53.4013,9868.4,-132.53,12666.6,14700,20000,2789.66,55.52,0,0,491.33,-33.6204,469.43,200,1,2.94746,0,0,19.9752,0.097754,16.896,2909,1,42.8781,0,0,522.684,4.8877,474.919,449,1,6.61817,0,0,477.74,2.07238,469.05,10297.6,146.57,960.864,145.677,10516,136.269,11339.7,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,379.88,0,379.88,0,0,12993.9,0,825.7,0,13819.6,0,0,2904.87,0,0,0,2904.87,0,13819.6,0,9868.4,23688,0,1,0,35877,0,0,0,35877,15.4,63.7
6349,1,233.622,0,0,3210.12,-33.6724,3010.17,14700,371.686,3010.17,51.5195,11700,-253.602,14643.6,14700,20000,2789.66,70.5359,0,0,1008.7,-15.6097,953.774,200,1,2.84979,0,0,24.6396,-0.31499,22.1048,2909,1,41.4502,0,0,644.736,-15.7495,619.035,449,1,6.39779,0,0,589.297,-6.67779,589.577,10297.6,150.552,1230.72,142.372,16449,-439.096,18110.6,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,761.9,0,761.9,0,0,14904.7,0,2607.1,0,17511.8,0,0,3010.17,0,0,0,3010.17,0,17511.8,0,11700,29211.8,0,1,0,49038.1,0,0,0,49038.1,15.4,63.7
6349,1,210.778,0,0,523.32,-3.77357,316.316,14700,292.261,316.316,58.4056,1794.7,112.521,1764.64,14700,20000,2789.66,55.4632,0,0,234.18,10.01,168.707,200,1,2.92344,0,0,4.2612,-0.0353,1.37306,2909,1,42.5215,0,0,111.501,-1.765,70.7449,449,1,6.56313,0,0,101.914,-0.74836,96.0989,10297.6,236.11,168.217,154.835,6446.6,-49.2082,6582.75,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,153.37,0,153.37,0,0,2096.31,0,473.6,0,2569.91,0,0,316.316,0,0,0,316.316,0,2569.91,0,1794.7,4364.61,0,1,0,11269.4,0,0,0,11269.4,15.4,63.7
