0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv
7859,7859,552.517,0,0,126.834,126.834,0,0,100447,0.073784,0,0,0,0,6913.31,6913.31,603.834,0,0,167.781,167.781,0,0,37999.6,0.064664,0,0,0,0,16925.7,16925.7,1478.35,0,0,365.438,365.438,0,0,61999.4,0.0858514,0,0,0,0
7859,7859,2227.83,0,0,143.261,143.261,0,0,100447,0.157124,0,0,0,0,6913.31,6913.31,2125.94,0,0,186.587,186.587,0,0,37999.6,0.136576,0,0,0,0,16925.7,16925.7,5204.9,0,0,397.499,397.499,0,0,61999.4,0.179235,0,0,0,0
7859,7859,2665.17,0,0,150.371,150.371,0,0,100447,0.2446,0,0,0,0,6913.31,6913.31,2510.36,0,0,178.775,178.775,0,0,37999.6,0.205477,0,0,0,0,16925.7,16925.7,6146.06,0,0,397.603,397.603,0,0,61999.4,0.272643,0,0,0,0
7859,7859,420.82,0,0,145.722,145.722,0,0,100447,0.329372,0,0,0,0,6913.31,6913.31,402.476,0,0,190.878,190.878,0,0,37999.6,0.279043,0,0,0,0,16925.7,16925.7,985.373,0,0,358.757,358.757,0,0,61999.4,0.356925,0,0,0,0
7859,7859,2172,0,0,133.732,133.732,0,0,100447,0.407169,0,0,0,0,6913.31,6913.31,2059.85,0,0,178.953,178.953,0,0,37999.6,0.348013,0,0,0,0,16925.7,16925.7,5043.08,0,0,374.994,374.994,0,0,61999.4,0.445021,0,0,0,0
7859,7859,395.314,0,0,145.372,145.372,0,0,100447,0.492871,0,0,0,0,6913.31,6913.31,399.297,0,0,160.247,160.247,0,0,37999.6,0.410566,0,0,0,0,16925.7,16925.7,977.589,0,0,350.443,350.443,0,0,61999.4,0.531349,0,0,0,0
7859,7859,377.741,0,0,137.571,137.571,0,0,100447,0.573974,0,0,0,0,6913.31,6913.31,376.262,0,0,188.632,188.632,0,0,37999.6,0.484198,0,0,0,0,16925.7,16925.7,921.193,0,0,373.051,373.051,0,0,61999.4,0.623247,0,0,0,0
7859,7859,293.221,0,0,156.746,156.746,0,0,100447,0.666381,0,0,0,0,6913.31,6913.31,293.709,0,0,170.897,170.897,0,0,37999.6,0.550908,0,0,0,0,16925.7,16925.7,719.08,0,0,385.83,385.83,0,0,61999.4,0.718293,0,0,0,0
7859,7859,373.4,0,0,150.958,150.958,0,0,100447,0.755376,0,0,0,0,6913.31,6913.31,384.032,0,0,176.498,176.498,0,0,37999.6,0.619805,0,0,0,0,16925.7,16925.7,940.216,0,0,360.995,360.995,0,0,61999.4,0.80722,0,0,0,0
7859,7859,241.423,0,0,141.54,141.54,0,0,100447,0.834724,0,0,0,0,6913.31,6913.31,269.587,0,0,189.577,189.577,0,0,37999.6,0.690915,0,0,0,0,16925.7,16925.7,660.024,0,0,412.612,412.612,0,0,61999.4,0.906694,0,0,0,0
7859,7859,937.601,0,0,157.551,157.551,0,0,100447,0.923048,0,0,0,0,6913.31,6913.31,949.75,0,0,186,186,0,0,37999.6,0.760684,0,0,0,0,16925.7,16925.7,2325.25,0,0,389.048,389.048,0,0,61999.4,1.00049,0,0,0,0
7859,7859,851.612,0,0,151.129,151.129,0,0,100447,1.00777,0,0,0,0,6913.31,6913.31,739.473,0,0,166.828,166.828,0,0,37999.6,0.823262,0,0,0,0,16925.7,16925.7,1810.43,0,0,354.607,354.607,0,0,61999.4,1.08598,0,0,0,0
7859,7859,947.764,0,0,152.534,152.534,0,0,100447,1.09328,0,0,0,0,6913.31,6913.31,875.213,0,0,194.25,194.25,0,0,37999.6,0.896125,0,0,0,0,16925.7,16925.7,2142.76,0,0,356.255,356.255,0,0,61999.4,1.17186,0,0,0,0
7859,7859,312.882,0,0,157.213,157.213,0,0,100447,1.18142,0,0,0,0,6913.31,6913.31,321.327,0,0,169.241,169.241,0,0,37999.6,0.959607,0,0,0,0,16925.7,16925.7,786.698,0,0,338.619,338.619,0,0,61999.4,1.2535,0,0,0,0
7859,7859,346.155,0,0,147.353,147.353,0,0,100447,1.26678,0,0,0,0,6913.31,6913.31,263.665,0,0,185.791,185.791,0,0,37999.6,1.03066,0,0,0,0,16925.7,16925.7,645.525,0,0,341.773,341.773,0,0,61999.4,1.33464,0,0,0,0
7859,7859,326.243,0,0,168.861,168.861,0,0,100447,1.3646,0,0,0,0,6913.31,6913.31,317.866,0,0,186.36,186.36,0,0,37999.6,1.10194,0,0,0,0,16925.7,16925.7,778.224,0,0,370.738,370.738,0,0,61999.4,1.42266,0,0,0,0
7859,7859,528.01,0,0,172.588,172.588,0,0,100447,1.46458,0,0,0,0,6913.31,6913.31,446.283,0,0,203.106,203.106,0,0,37999.6,1.17961,0,0,0,0,16925.7,16925.7,1092.62,0,0,391.485,391.485,0,0,61999.4,1.5156,0,0,0,0
7859,7859,1233.13,0,0,150.866,150.866,0,0,100447,1.55197,0,0,0,0,6913.31,6913.31,1211.65,0,0,190.673,190.673,0,0,37999.6,1.25253,0,0,0,0,16925.7,16925.7,2966.46,0,0,404.24,404.24,0,0,61999.4,1.61157,0,0,0,0
7859,7859,1145.51,0,0,162.226,162.226,0,0,100447,1.64277,0,0,0,0,6913.31,6913.31,1049.37,0,0,212.246,212.246,0,0,37999.6,1.33207,0,0,0,0,16925.7,16925.7,2569.14,0,0,450.617,450.617,0,0,61999.4,1.71388,0,0,0,0
7859,7859,1214.53,0,0,182.956,182.956,0,0,100447,1.74516,0,0,0,0,6913.31,6913.31,1370.65,0,0,217.97,217.97,0,0,37999.6,1.41374,0,0,0,0,16925.7,16925.7,3355.74,0,0,470.326,470.326,0,0,61999.4,1.82065,0,0,0,0
7859,7859,893.949,0,0,201.685,201.685,0,0,100447,1.85804,0,0,0,0,6913.31,6913.31,1084.19,0,0,250.865,250.865,0,0,37999.6,1.50775,0,0,0,0,16925.7,16925.7,2654.4,0,0,514.563,514.563,0,0,61999.4,1.93747,0,0,0,0
7859,7859,2972.58,0,0,193.87,193.87,0,0,100447,1.96654,0,0,0,0,6913.31,6913.31,3304.85,0,0,259.51,259.51,0,0,37999.6,1.60499,0,0,0,0,16925.7,16925.7,8091.18,0,0,407.843,407.843,0,0,61999.4,2.03007,0,0,0,0
7859,7859,1061.58,0,0,231.55,231.55,0,0,100447,2.0906,0,0,0,0,6913.31,6913.31,1109.05,0,0,218.629,218.629,0,0,37999.6,1.68421,0,0,0,0,16925.7,16925.7,2715.26,0,0,639.345,639.345,0,0,61999.4,2.17507,0,0,0,0
7859,7859,744.034,0,0,178.752,178.752,0,0,100447,2.18636,0,0,0,0,6913.31,6913.31,744.005,0,0,220.639,220.639,0,0,37999.6,1.76416,0,0,0,0,16925.7,16925.7,1821.53,0,0,536.144,536.144,0,0,61999.4,2.29667,0,0,0,0
7859,7859,402.956,0,0,182.585,182.585,0,0,100447,2.28418,0,0,0,0,6913.31,6913.31,631.559,0,0,229.276,229.276,0,0,37999.6,1.84723,0,0,0,0,16925.7,16925.7,1546.23,0,0,476.286,476.286,0,0,61999.4,2.40469,0,0,0,0
7854.85,7859,192.077,0,0,192.753,192.753,0,0,100447,2.38745,0,0,0,0,6834.29,6913.31,198.652,0,0,248.722,248.722,0,0,37999.6,1.93736,0,0,0,0,16798.5,16925.7,486.354,0,0,542.717,542.717,0,0,61999.4,2.52778,0,0,0,0
7688.63,7859,136.367,0,0,172.22,172.22,0,0,100447,2.47972,0,0,0,0,6650.19,6913.31,98.7701,0,0,254.541,254.541,0,0,37999.6,2.02959,0,0,0,0,16514.3,16925.7,241.816,0,0,456.585,456.585,0,0,61999.4,2.63133,0,0,0,0
7859,7859,576.227,0,0,183.629,183.629,0,0,100447,2.58576,0,0,0,0,6913.31,6913.31,437.423,0,0,240.254,240.254,0,0,37999.6,2.12237,0,0,0,0,16925.7,16925.7,1070.93,0,0,570.373,570.373,0,0,61999.4,2.76247,0,0,0,0
7859,7859,420.286,0,0,241.129,241.129,0,0,100447,2.72501,0,0,0,0,6913.31,6913.31,299.179,0,0,263.761,263.761,0,0,37999.6,2.22423,0,0,0,0,16925.7,16925.7,732.472,0,0,611.796,611.796,0,0,61999.4,2.90314,0,0,0,0
7859,7859,368.661,0,0,205.169,205.169,0,0,100447,2.84349,0,0,0,0,6913.31,6913.31,347.373,0,0,235.146,235.146,0,0,37999.6,2.31504,0,0,0,0,16925.7,16925.7,850.465,0,0,472.469,472.469,0,0,61999.4,3.01177,0,0,0,0
7859,7859,171.712,0,0,193.576,193.576,0,0,100447,2.95527,0,0,0,0,6913.31,6913.31,199.225,0,0,218.15,218.15,0,0,37999.6,2.39928,0,0,0,0,16925.7,16925.7,487.758,0,0,600.886,600.886,0,0,61999.4,3.14993,0,0,0,0
7807.8,7859,27.6801,0,0,251.696,251.696,0,0,100447,3.10107,0,0,0,0,6619.01,6913.31,46.1555,0,0,264.651,264.651,0,0,37999.6,2.50249,0,0,0,0,16391.8,16925.7,113.001,0,0,461.303,461.303,0,0,61999.4,3.2605,0,0,0,0
7853.62,7859,11.6789,0,0,253.481,253.481,0,0,100447,3.2479,0,0,0,0,6330.77,6913.31,19.1522,0,0,225.314,225.314,0,0,37999.6,2.59036,0,0,0,0,15784.3,16925.7,46.8898,0,0,453.398,453.398,0,0,61999.4,3.36918,0,0,0,0
7573.33,7859,7.07969,0,0,212.671,212.671,0,0,100447,3.3711,0,0,0,0,6075.84,6913.31,13.8355,0,0,216.399,216.399,0,0,37999.6,2.67475,0,0,0,0,15257,16925.7,33.8732,0,0,433.037,433.037,0,0,61999.4,3.47298,0,0,0,0
7412.78,7859,7.82272,0,0,169.16,169.16,0,0,100447,3.46908,0,0,0,0,5810.2,6913.31,12.2043,0,0,218.463,218.463,0,0,37999.6,2.75994,0,0,0,0,14731.8,16925.7,29.8794,0,0,409.625,409.625,0,0,61999.4,3.57116,0,0,0,0
7278.66,7859,8.32036,0,0,222.698,222.698,0,0,100447,3.60128,0,0,0,0,5584.35,6913.31,10.0456,0,0,216.923,216.923,0,0,37999.6,2.84603,0,0,0,0,14300.3,16925.7,24.5944,0,0,409.721,409.721,0,0,61999.4,3.66688,0,0,0,0
7160.95,7859,11.7313,0,0,214.65,214.65,0,0,100447,3.7287,0,0,0,0,5350.82,6913.31,11.7199,0,0,215.347,215.347,0,0,37999.6,2.9315,0,0,0,0,13817.6,16925.7,28.6934,0,0,438.102,438.102,0,0,61999.4,3.76923,0,0,0,0
6962.48,7859,70.7283,0,0,206.445,206.445,0,0,100447,3.85124,0,0,0,0,5323.54,6913.31,84.2961,0,0,215.712,215.712,0,0,37999.6,3.01711,0,0,0,0,13855.5,16925.7,206.38,0,0,423.469,423.469,0,0,61999.4,3.86815,0,0,0,0
6778.59,7859,46.1311,0,0,204.88,204.88,0,0,100447,3.97286,0,0,0,0,5283.39,6913.31,66.4525,0,0,191.847,191.847,0,0,37999.6,3.09325,0,0,0,0,13775,16925.7,162.694,0,0,451.904,451.904,0,0,61999.4,3.97372,0,0,0,0
6557.65,7859,36.614,0,0,199.364,199.364,0,0,100447,4.0912,0,0,0,0,5132.75,6913.31,48.3173,0,0,200.105,200.105,0,0,37999.6,3.17267,0,0,0,0,13418.2,16925.7,118.294,0,0,477.87,477.87,0,0,61999.4,4.08536,0,0,0,0
6990.43,7859,57.0211,0,0,187.677,187.677,0,0,100447,4.20313,0,0,0,0,4993.88,6913.31,64.0799,0,0,202.94,202.94,0,0,37999.6,3.25345,0,0,0,0,13144.7,16925.7,156.885,0,0,430.393,430.393,0,0,61999.4,4.18988,0,0,0,0
6775.75,7859,18.3172,0,0,178.673,178.673,0,0,100447,4.30969,0,0,0,0,4817.2,6913.31,24.4953,0,0,202.301,202.301,0,0,37999.6,3.33398,0,0,0,0,12739,16925.7,59.9712,0,0,468.452,468.452,0,0,61999.4,4.30365,0,0,0,0
6743.17,7859,62.6629,0,0,177.615,177.615,0,0,100447,4.41562,0,0,0,0,4672.09,6913.31,59.4254,0,0,209.311,209.311,0,0,37999.6,3.4173,0,0,0,0,12445.9,16925.7,145.49,0,0,450.243,450.243,0,0,61999.4,4.41299,0,0,0,0
6594.91,7859,25.3881,0,0,156.198,156.198,0,0,100447,4.50877,0,0,0,0,4480.84,6913.31,18.3547,0,0,189.229,189.229,0,0,37999.6,3.49262,0,0,0,0,12132.3,16925.7,44.9375,0,0,308.635,308.635,0,0,61999.4,4.48794,0,0,0,0
6491.57,7859,45.2368,0,0,164.101,164.101,0,0,100447,4.60457,0,0,0,0,4336.97,6913.31,70.8583,0,0,206.059,206.059,0,0,37999.6,3.5735,0,0,0,0,11875.8,16925.7,173.481,0,0,408.787,408.787,0,0,61999.4,4.58303,0,0,0,0
6333.86,7859,19.5927,0,0,169.705,169.705,0,0,100447,4.70364,0,0,0,0,4144.28,6913.31,23.1737,0,0,163.81,163.81,0,0,37999.6,3.63779,0,0,0,0,11361.2,16925.7,56.7355,0,0,443.931,443.931,0,0,61999.4,4.68629,0,0,0,0
6155.11,7859,29.9934,0,0,143.075,143.075,0,0,100447,4.78717,0,0,0,0,3926.01,6913.31,28.575,0,0,187.015,187.015,0,0,37999.6,3.71119,0,0,0,0,10965.2,16925.7,69.9595,0,0,319.467,319.467,0,0,61999.4,4.7606,0,0,0,0
6063.68,7859,261.511,0,0,174.083,174.083,0,0,100447,4.8888,0,0,0,0,3953.47,6913.31,137.342,0,0,161.632,161.632,0,0,37999.6,3.77463,0,0,0,0,11023,16925.7,336.252,0,0,405.134,405.134,0,0,61999.4,4.85483,0,0,0,0
6072.71,7859,83.5971,0,0,165.004,165.004,0,0,100447,4.98505,0,0,0,0,3807.06,6913.31,50.9483,0,0,195.784,195.784,0,0,37999.6,3.85159,0,0,0,0,10740.8,16925.7,124.736,0,0,403.048,403.048,0,0,61999.4,4.95133,0,0,0,0
5926.58,7859,51.3027,0,0,157.784,157.784,0,0,100447,5.07709,0,0,0,0,3648.79,6913.31,50.0647,0,0,182.174,182.174,0,0,37999.6,3.92321,0,0,0,0,10462.2,16925.7,122.572,0,0,337.158,337.158,0,0,61999.4,5.03205,0,0,0,0
5873.19,7859,143.573,0,0,157.224,157.224,0,0,100447,5.1688,0,0,0,0,3631.85,6913.31,149.506,0,0,189.6,189.6,0,0,37999.6,3.99774,0,0,0,0,10512.2,16925.7,366.032,0,0,372.695,372.695,0,0,61999.4,5.12128,0,0,0,0
5790.92,7859,112.101,0,0,180.275,180.275,0,0,100447,5.27396,0,0,0,0,3528.26,6913.31,103.238,0,0,237.593,237.593,0,0,37999.6,4.09114,0,0,0,0,10536.9,16925.7,252.756,0,0,303.434,303.434,0,0,61999.4,5.19393,0,0,0,0
6595.59,7859,207.729,0,0,127.551,127.551,0,0,100447,5.34816,0,0,0,0,3564.65,6913.31,213.292,0,0,172.861,172.861,0,0,37999.6,4.15777,0,0,0,0,10672.6,16925.7,522.198,0,0,376.562,376.562,0,0,61999.4,5.28239,0,0,0,0
6886.33,7859,402.519,0,0,161.064,161.064,0,0,100447,5.44186,0,0,0,0,3782.29,6913.31,206.868,0,0,175.042,175.042,0,0,37999.6,4.22523,0,0,0,0,11229.4,16925.7,506.471,0,0,404.55,404.55,0,0,61999.4,5.37743,0,0,0,0
6929.97,7859,144.477,0,0,129.66,129.66,0,0,100447,5.51728,0,0,0,0,3755.08,6913.31,149.499,0,0,193.543,193.543,0,0,37999.6,4.29982,0,0,0,0,11245.4,16925.7,366.014,0,0,391.294,391.294,0,0,61999.4,5.46936,0,0,0,0
7007.6,7859,173.228,0,0,130.326,130.326,0,0,100447,5.5931,0,0,0,0,3691.26,6913.31,52.5777,0,0,186.145,186.145,0,0,37999.6,4.37156,0,0,0,0,11142.5,16925.7,128.725,0,0,402.388,402.388,0,0,61999.4,5.56389,0,0,0,0
7859,7859,568.599,0,0,134.6,134.6,0,0,100447,5.6714,0,0,0,0,3848.26,6913.31,309.58,0,0,200.442,200.442,0,0,37999.6,4.44882,0,0,0,0,11591.8,16925.7,757.938,0,0,425.837,425.837,0,0,61999.4,5.66393,0,0,0,0
7859,7859,494.721,0,0,152.112,152.112,0,0,100447,5.76108,0,0,0,0,4086.37,6913.31,362.736,0,0,181.649,181.649,0,0,37999.6,4.51972,0,0,0,0,12194.5,16925.7,888.079,0,0,424.918,424.918,0,0,61999.4,5.76861,0,0,0,0
7859,7859,647.184,0,0,145.62,145.62,0,0,100447,5.84692,0,0,0,0,4407.44,6913.31,447.763,0,0,178.252,178.252,0,0,37999.6,4.5893,0,0,0,0,13021.6,16925.7,1096.25,0,0,395.362,395.362,0,0,61999.4,5.866,0,0,0,0
7859,7859,573.285,0,0,142.859,142.859,0,0,100447,5.93114,0,0,0,0,4800.78,6913.31,499.862,0,0,184.709,184.709,0,0,37999.6,4.6614,0,0,0,0,14051.9,16925.7,1223.8,0,0,384.999,384.999,0,0,61999.4,5.96084,0,0,0,0
7859,7859,1355.37,0,0,159.264,159.264,0,0,100447,6.02504,0,0,0,0,6913.31,6913.31,1335.36,0,0,179.679,179.679,0,0,37999.6,4.73154,0,0,0,0,16925.7,16925.7,3269.33,0,0,461.809,461.809,0,0,61999.4,6.0746,0,0,0,0
