0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2s_area,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,14.7619,0,0,110.409,-4.92347,100.57,10300,163.996,100.57,0,975.759,-309.159,1221.49,7210,2060,1030,30825,23839,64,634.161,115.948,0,1528.4,-21.8581,1032.04,6913.31,16925.7,20000,0,0,0,0,115.948,0,115.948,0,0,1032.04,0,73.584,0,1105.63,0,1,0,2327.12,0,0,0,2327.12,20
649,1,12.1039,0,0,1197.42,-5.80228,1191.12,10300,134.467,1191.12,0,8436.56,-364.341,9857.55,7210,2060,1030,30825,23839,64,554.158,1257.49,0,13825,-591.232,15119.5,6913.31,16925.7,20000,0,0,0,0,1257.49,0,1257.49,0,0,15119.5,0,373.055,0,15492.6,0,1,0,25350.1,0,0,0,25350.1,20
649,1,12.4326,0,0,656.864,-10.701,655.132,10300,138.119,655.132,0,3779.42,-671.944,4968.38,7210,2060,1030,30825,23839,64,675.844,689.817,0,7438.57,6.53071,7446.01,6913.31,16925.7,20000,0,0,0,0,689.817,0,689.817,0,0,7446.01,0,686.048,0,8132.06,0,1,0,13100.4,0,0,0,13100.4,20
649,1,19.4981,0,0,178.845,-2.1754,161.523,10300,216.612,161.523,0,2212.73,-136.6,2294.24,7210,2060,1030,30825,23839,64,558.502,187.818,0,3145.06,118.358,2656.02,6913.31,16925.7,20000,0,0,0,0,187.818,0,187.818,0,0,2656.02,0,336.612,0,2992.63,0,1,0,5286.87,0,0,0,5286.87,20
649,1,15.8826,0,0,487.484,-1.43078,473.032,10300,176.446,473.032,0,12067.9,-89.8429,12454.3,7210,2060,1030,30825,23839,64,743.707,511.94,0,15804.2,-201.762,15774.2,6913.31,16925.7,20000,0,0,0,0,511.94,0,511.94,0,0,15774.2,0,504.43,0,16278.6,0,1,0,28732.9,0,0,0,28732.9,20
649,1,14.8539,0,0,890.166,1.82551,873.486,10300,165.018,873.486,0,17027.5,114.629,17621.4,7210,2060,1030,30825,23839,64,646.057,934.823,0,22200.9,-801.138,23290.8,6913.31,16925.7,20000,0,0,0,0,934.823,0,934.823,0,0,23290.8,0,445.391,0,23736.2,0,1,0,41357.6,0,0,0,41357.6,20
649,1,19.152,0,0,279.337,-9.17833,269.364,10300,212.768,269.364,0,4990.73,-576.333,5623.66,7210,2060,1030,30825,23839,64,752.729,293.351,0,6881.94,250.947,6171.62,6913.31,16925.7,20000,0,0,0,0,293.351,0,293.351,0,0,6171.62,0,207.9,0,6379.52,0,1,0,12003.2,0,0,0,12003.2,20
649,1,17.5529,0,0,165.166,-10.1384,157.752,10300,195.002,157.752,0,2620.17,-636.618,3219.54,7210,2060,1030,30825,23839,64,679.58,173.452,0,4424.66,-118.268,4036.8,6913.31,16925.7,20000,0,0,0,0,173.452,0,173.452,0,0,4036.8,0,121.74,0,4158.54,0,1,0,7378.07,0,0,0,7378.07,20
649,1,15.6561,0,0,233.231,-6.24638,223.821,10300,173.93,223.821,0,2750.01,-392.228,3192.12,7210,2060,1030,30825,23839,64,713.936,244.931,0,6324.03,240.489,5614.54,6913.31,16925.7,20000,0,0,0,0,244.931,0,244.931,0,0,5614.54,0,159.641,0,5774.18,0,1,0,8966.3,0,0,0,8966.3,20
649,1,15.9308,0,0,71.0711,1.24639,53.8939,10300,176.982,53.8939,0,1031.75,78.264,830.393,7210,2060,1030,30825,23839,64,818.671,74.6366,0,1666.12,-65.9088,987.997,6913.31,16925.7,20000,0,0,0,0,74.6366,0,74.6366,0,0,987.997,0,53.016,0,1041.01,0,1,0,1871.41,0,0,0,1871.41,20
649,1,15.1309,0,0,44.5244,0.462406,28.9312,10300,168.095,28.9312,0,3167.05,29.0358,2998.85,7210,2060,1030,30825,23839,64,655.587,46.7581,0,4256.98,-638.859,4287.01,6913.31,16925.7,20000,0,0,0,0,46.7581,0,46.7581,0,0,4287.01,0,129.916,0,4416.92,0,1,0,7415.77,0,0,0,7415.77,20
649,1,16.9096,0,0,75.3866,3.08057,55.3964,10300,187.855,55.3964,0,3116.96,193.437,2791.06,7210,2060,1030,30825,23839,64,724.188,79.1685,0,4770.35,-7.82951,4133.16,6913.31,16925.7,20000,0,0,0,0,79.1685,0,79.1685,0,0,4133.16,0,196.616,0,4329.78,0,1,0,7120.84,0,0,0,7120.84,20
649,1,16.0093,0,0,314.998,5.70587,293.283,10300,177.853,293.283,0,12028.1,358.287,11785.2,7210,2060,1030,30825,23839,64,782.86,330.801,0,15540.3,193.175,14895.1,6913.31,16925.7,20000,0,0,0,0,330.801,0,330.801,0,0,14895.1,0,248.519,0,15143.6,0,1,0,26928.8,0,0,0,26928.8,20
