0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,13.0292,0,0,435.175,-2.22531,424.371,10300,144.747,424.371,0,11698.6,-139.733,12117.9,7210,2060,1030,30825,23839,584.739,457.006,0,14665.9,-72.7695,14611,6913.31,16925.7,20000,0,0,0,0,457.006,0,457.006,0,0,14611,0,222.872,0,14833.8,0,1,0,26951.8,0,0,0,26951.8,20
649,1,13.9885,0,0,465.391,1.99174,449.411,10300,155.404,449.411,0,10146.1,125.067,10315,7210,2060,1030,30825,23839,626.865,488.738,0,13009.5,14.4662,12856.9,6913.31,16925.7,20000,0,0,0,0,488.738,0,488.738,0,0,12856.9,0,531.343,0,13388.2,0,1,0,23703.2,0,0,0,23703.2,20
649,1,19.3969,0,0,550.41,1.1842,529.828,10300,215.488,529.828,0,20188.2,74.359,20428.2,7210,2060,1030,30825,23839,478.752,578.022,0,23537.4,124.131,23512.5,6913.31,16925.7,20000,0,0,0,0,578.022,0,578.022,0,0,23512.5,0,476.555,0,23989,0,1,0,44417.2,0,0,0,44417.2,20
649,1,17.4177,0,0,211.416,-11.0408,205.039,10300,193.5,205.039,0,4516.49,-693.282,5221.31,7210,2060,1030,30825,23839,669.317,222.022,0,6398.65,-195.144,6146.5,6913.31,16925.7,20000,0,0,0,0,222.022,0,222.022,0,0,6146.5,0,407.406,0,6553.91,0,1,0,11775.2,0,0,0,11775.2,20
649,1,17.518,0,0,180.481,-2.12345,165.086,10300,194.615,165.086,0,5969.41,-133.337,6073.22,7210,2060,1030,30825,23839,641.414,189.535,0,7486.55,-313.693,7348.36,6913.31,16925.7,20000,0,0,0,0,189.535,0,189.535,0,0,7348.36,0,187.238,0,7535.6,0,1,0,13608.8,0,0,0,13608.8,20
649,1,17.1142,0,0,432.653,-5.04792,420.587,10300,190.129,420.587,0,8170.76,-316.973,8718.19,7210,2060,1030,30825,23839,767.498,454.358,0,10485.3,34.195,10137.9,6913.31,16925.7,20000,0,0,0,0,454.358,0,454.358,0,0,10137.9,0,249.457,0,10387.4,0,1,0,19105.6,0,0,0,19105.6,20
649,1,19.0502,0,0,96.0252,0.526526,76.4484,10300,211.637,76.4484,0,3465.39,33.0621,3297.14,7210,2060,1030,30825,23839,647.294,100.843,0,4013.42,283.204,3183.77,6913.31,16925.7,20000,0,0,0,0,100.843,0,100.843,0,0,3183.77,0,159.684,0,3343.45,0,1,0,6640.59,0,0,0,6640.59,20
649,1,17.6133,0,0,65.1758,3.60758,43.9549,10300,195.674,43.9549,0,1292.21,226.53,913.961,7210,2060,1030,30825,23839,757.684,68.4455,0,1740.24,-201.354,1252.36,6913.31,16925.7,20000,0,0,0,0,68.4455,0,68.4455,0,0,1252.36,0,193.732,0,1446.09,0,1,0,2360.05,0,0,0,2360.05,20
649,1,14.1573,0,0,195.24,3.6852,177.398,10300,157.279,177.398,0,5012.63,231.404,4801.35,7210,2060,1030,30825,23839,644.653,205.035,0,6491.09,87.1022,5964.36,6913.31,16925.7,20000,0,0,0,0,205.035,0,205.035,0,0,5964.36,0,430.967,0,6395.33,0,1,0,11196.7,0,0,0,11196.7,20
649,1,19.0052,0,0,59.6945,2.14982,38.5395,10300,211.137,38.5395,0,2078.21,134.993,1770.62,7210,2060,1030,30825,23839,811.562,62.6892,0,2800.13,-295.465,2346.72,6913.31,16925.7,20000,0,0,0,0,62.6892,0,62.6892,0,0,2346.72,0,263.382,0,2610.1,0,1,0,4380.73,0,0,0,4380.73,20
649,1,17.6789,0,0,108.666,-1.08165,92.069,10300,196.402,92.069,0,2353.91,-67.9199,2317.5,7210,2060,1030,30825,23839,666.621,114.118,0,2908.64,-155.97,2512.11,6913.31,16925.7,20000,0,0,0,0,114.118,0,114.118,0,0,2512.11,0,140.271,0,2652.38,0,1,0,4969.88,0,0,0,4969.88,20
649,1,20.3757,0,0,52.9836,-0.821464,33.4294,10300,226.361,33.4294,0,934.58,-51.582,793.23,7210,2060,1030,30825,23839,709.722,55.6416,0,1348.02,203.023,490.92,6913.31,16925.7,20000,0,0,0,0,55.6416,0,55.6416,0,0,490.92,0,82.0024,0,572.922,0,1,0,1366.15,0,0,0,1366.15,20
649,1,16.1008,0,0,217.543,-1.21228,202.654,10300,178.871,202.654,0,5032.37,-76.1224,5132.28,7210,2060,1030,30825,23839,777.606,228.456,0,6276.15,-152.701,5879.71,6913.31,16925.7,20000,0,0,0,0,228.456,0,228.456,0,0,5879.71,0,82.8184,0,5962.52,0,1,0,11094.8,0,0,0,11094.8,20
649,1,14.9728,0,0,671.025,5.5542,650.498,10300,166.339,650.498,0,14467.3,348.764,14602.7,7210,2060,1030,30825,23839,736.759,704.688,0,18441.4,-472.316,18881.6,6913.31,16925.7,20000,0,0,0,0,704.688,0,704.688,0,0,18881.6,0,167.417,0,19049.1,0,1,0,33651.8,0,0,0,33651.8,20
649,1,18.4482,0,0,117.396,7.91772,91.0301,10300,204.949,91.0301,0,1247.05,497.176,635.954,7210,2060,1030,30825,23839,770.972,123.286,0,2348.31,158.047,1542.58,6913.31,16925.7,20000,0,0,0,0,123.286,0,123.286,0,0,1542.58,0,340.633,0,1883.21,0,1,0,2519.17,0,0,0,2519.17,20
649,1,16.1156,0,0,24.0334,4.84327,3.07458,10106.3,179.034,3.07458,0,242.372,304.123,25.85,7020.68,2057.06,1028.53,30755.2,23238.6,688.431,25.2391,0,565.699,429.051,490,6711.52,16527.1,19583.9,0,0,0,0,25.2391,0,25.2391,0,0,490,0,45.8669,0,535.867,0,1,0,561.717,0,0,0,561.717,20
649,1,15.9891,0,0,60.1168,1.45266,42.675,9962.78,172.965,42.675,0,173.693,91.2165,25.85,6872.78,2060,1030,30825,23036.1,575.06,63.1326,0,605.654,-16.2672,490,6620.31,16415.8,19406.4,0,0,0,0,63.1326,0,63.1326,0,0,490,0,45.1929,0,535.193,0,1,0,561.043,0,0,0,561.043,20
649,1,16.7233,0,0,39.0089,5.39975,16.8858,9735.29,177.097,16.8858,0,120.987,339.065,25.85,6660.41,2049.92,1024.96,30648.3,22654.2,725.977,40.9659,0,603.293,11.5019,490,6490.31,16163.9,19205.1,0,0,0,0,40.9659,0,40.9659,0,0,490,0,52.6555,0,542.656,0,1,0,568.506,0,0,0,568.506,20
633.511,1,17.2411,0,0,9.20087,7.44846,0,9461.05,176.938,0,0,79.2271,467.709,25.85,6415.36,2030.46,1015.23,30331.3,21867,744.709,9.66245,0,154.89,242.618,490,6250.31,15616.7,18679.4,0,0,0,0,9.66245,0,9.66245,0,0,490,0,19.1338,0,509.134,0,1,0,534.984,0,0,0,534.984,20
649,1,15.6857,0,0,48.6241,6.33966,11.1101,9365.51,158.844,11.1101,0,639.714,398.085,25.85,6300.83,2043.12,1021.56,30494.9,21802.1,551.061,51.0634,0,1180.39,337.383,490,6200.27,15601.9,18597.3,0,0,0,0,51.0634,0,51.0634,0,0,490,0,40.6034,0,530.603,0,1,0,556.453,0,0,0,556.453,20
649,1,17.7035,0,0,295.743,-8.22136,286.261,10300,171.874,286.261,0,3398.5,-516.242,2764.55,7210,2060,1030,30825,23839,695.941,310.579,0,5257.26,-870.344,2302.7,6913.31,16925.7,20000,0,0,0,0,310.579,0,310.579,0,0,2302.7,0,205.593,0,2508.3,0,1,0,5272.84,0,0,0,5272.84,20
649,1,19.2347,0,0,354.767,4.71692,330.816,10300,213.686,330.816,0,3007.84,296.188,2828.78,7210,2060,1030,30825,23839,712.631,372.565,0,5718.71,169.934,5208.71,6913.31,16925.7,20000,0,0,0,0,372.565,0,372.565,0,0,5208.71,0,225.541,0,5434.25,0,1,0,8263.04,0,0,0,8263.04,20
649,1,16.766,0,0,64.1292,-0.399203,47.7623,10300,186.26,47.7623,0,1003.28,-25.067,889.847,7210,2060,1030,30825,23839,615.108,67.3463,0,1818.69,157.012,1113.91,6913.31,16925.7,20000,0,0,0,0,67.3463,0,67.3463,0,0,1113.91,0,249.932,0,1363.85,0,1,0,2253.69,0,0,0,2253.69,20
649,1,17.884,0,0,73.0899,8.81936,46.3866,10300,198.681,46.3866,0,1364.84,553.792,658.759,7210,2060,1030,30825,23839,652.002,76.7566,0,2701.03,-359.849,2485.63,6913.31,16925.7,20000,0,0,0,0,76.7566,0,76.7566,0,0,2485.63,0,458.267,0,2943.9,0,1,0,3602.66,0,0,0,3602.66,20
649,1,15.9393,0,0,94.0105,7.59795,70.4733,10300,177.076,70.4733,0,1772.45,477.096,1188.75,7210,2060,1030,30825,23839,683.923,98.7268,0,3476.44,-418.418,3309.66,6913.31,16925.7,20000,0,0,0,0,98.7268,0,98.7268,0,0,3309.66,0,77.7793,0,3387.44,0,1,0,4576.2,0,0,0,4576.2,20
