0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv
7859,7859,552.517,0,0,136.864,136.864,0,0,100447,0.0796188,0,0,0,0,6913.31,6913.31,603.834,0,0,177.31,177.31,0,0,37999.6,0.0683368,0,0,0,0,16925.7,16925.7,1478.35,0,0,370.642,370.642,0,0,61999.4,0.0870742,0,0,0,0
7859,7859,2227.83,0,0,140.171,140.171,0,0,100447,0.161161,0,0,0,0,6913.31,6913.31,2125.94,0,0,171.369,171.369,0,0,37999.6,0.134384,0,0,0,0,16925.7,16925.7,5204.9,0,0,359.286,359.286,0,0,61999.4,0.17148,0,0,0,0
7859,7859,2665.17,0,0,143.987,143.987,0,0,100447,0.244924,0,0,0,0,6913.31,6913.31,2510.36,0,0,204.903,204.903,0,0,37999.6,0.213355,0,0,0,0,16925.7,16925.7,6146.06,0,0,419.652,419.652,0,0,61999.4,0.270068,0,0,0,0
7859,7859,420.82,0,0,156.781,156.781,0,0,100447,0.336129,0,0,0,0,6913.31,6913.31,402.476,0,0,199.461,199.461,0,0,37999.6,0.290229,0,0,0,0,16925.7,16925.7,985.373,0,0,390.236,390.236,0,0,61999.4,0.361745,0,0,0,0
7859,7859,2172,0,0,155.058,155.058,0,0,100447,0.426331,0,0,0,0,6913.31,6913.31,2059.85,0,0,178.567,178.567,0,0,37999.6,0.35905,0,0,0,0,16925.7,16925.7,5043.08,0,0,392.084,392.084,0,0,61999.4,0.453857,0,0,0,0
7859,7859,395.314,0,0,158.154,158.154,0,0,100447,0.519568,0,0,0,0,6913.31,6913.31,399.297,0,0,185.195,185.195,0,0,37999.6,0.431341,0,0,0,0,16925.7,16925.7,977.589,0,0,369.383,369.383,0,0,61999.4,0.544851,0,0,0,0
7859,7859,377.741,0,0,127.326,127.326,0,0,100447,0.594631,0,0,0,0,6913.31,6913.31,376.262,0,0,190.514,190.514,0,0,37999.6,0.505708,0,0,0,0,16925.7,16925.7,921.193,0,0,372.331,372.331,0,0,61999.4,0.636571,0,0,0,0
7859,7859,293.221,0,0,132.682,132.682,0,0,100447,0.672852,0,0,0,0,6913.31,6913.31,293.709,0,0,182.375,182.375,0,0,37999.6,0.576899,0,0,0,0,16925.7,16925.7,719.08,0,0,357.394,357.394,0,0,61999.4,0.724612,0,0,0,0
7859,7859,373.4,0,0,137.83,137.83,0,0,100447,0.754108,0,0,0,0,6913.31,6913.31,384.032,0,0,184.356,184.356,0,0,37999.6,0.648862,0,0,0,0,16925.7,16925.7,940.216,0,0,409.221,409.221,0,0,61999.4,0.825419,0,0,0,0
7859,7859,377.599,0,0,145.047,145.047,0,0,100447,0.835422,0,0,0,0,6913.31,6913.31,378.595,0,0,197.182,197.182,0,0,37999.6,0.722826,0,0,0,0,16925.7,16925.7,926.906,0,0,356.712,356.712,0,0,61999.4,0.911417,0,0,0,0
7859,7859,374.246,0,0,165.066,165.066,0,0,100447,0.927959,0,0,0,0,6913.31,6913.31,398.802,0,0,196.819,196.819,0,0,37999.6,0.796653,0,0,0,0,16925.7,16925.7,976.378,0,0,395.136,395.136,0,0,61999.4,1.00668,0,0,0,0
7859,7859,297.47,0,0,167.377,167.377,0,0,100447,1.02179,0,0,0,0,6913.31,6913.31,332.704,0,0,180.587,180.587,0,0,37999.6,0.864391,0,0,0,0,16925.7,16925.7,814.551,0,0,399.83,399.83,0,0,61999.4,1.10307,0,0,0,0
7859,7859,383.416,0,0,151.798,151.798,0,0,100447,1.10689,0,0,0,0,6913.31,6913.31,444.409,0,0,182.518,182.518,0,0,37999.6,0.932854,0,0,0,0,16925.7,16925.7,1088.04,0,0,355.392,355.392,0,0,61999.4,1.18875,0,0,0,0
7859,7859,400.75,0,0,152.817,152.817,0,0,100447,1.19256,0,0,0,0,6913.31,6913.31,368.887,0,0,205.613,205.613,0,0,37999.6,1.00998,0,0,0,0,16925.7,16925.7,903.137,0,0,368.757,368.757,0,0,61999.4,1.27765,0,0,0,0
7859,7859,1399.24,0,0,141.069,141.069,0,0,100447,1.27428,0,0,0,0,6913.31,6913.31,1192.02,0,0,190.906,190.906,0,0,37999.6,1.08299,0,0,0,0,16925.7,16925.7,2918.39,0,0,366.268,366.268,0,0,61999.4,1.36461,0,0,0,0
7859,7859,630.499,0,0,178.24,178.24,0,0,100447,1.37753,0,0,0,0,6913.31,6913.31,634.951,0,0,205.788,205.788,0,0,37999.6,1.16169,0,0,0,0,16925.7,16925.7,1554.54,0,0,339.651,339.651,0,0,61999.4,1.44524,0,0,0,0
