0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,13.762,0,0,196.156,2.36228,180.032,10300,208,152.888,180.032,0,3288.91,148.334,3167.72,7210,2060,1030,30825,23839,558.421,205.997,0,5598.08,-287.02,5532.68,6913.31,16925.7,20000,0,0,0,0,205.997,0,205.997,0,0,5532.68,0,264.983,0,5797.66,0,1,0,8965.38,0,0,0,8965.38,20
649,1,13.3275,0,0,173.841,-2.95497,163.468,10300,208,148.06,163.468,0,3434.25,-185.551,3635.21,7210,2060,1030,30825,23839,573.255,182.562,0,5813.05,-171.645,5594,6913.31,16925.7,20000,0,0,0,0,182.562,0,182.562,0,0,5594,0,360.3,0,5954.3,0,1,0,9589.51,0,0,0,9589.51,20
649,1,13.1348,0,0,176.185,-0.809936,163.86,10300,208,145.919,163.86,0,3801.52,-50.8581,3870.32,7210,2060,1030,30825,23839,640.013,185.024,0,5356.17,-140.5,5041.68,6913.31,16925.7,20000,0,0,0,0,185.024,0,185.024,0,0,5041.68,0,337.387,0,5379.07,0,1,0,9249.38,0,0,0,9249.38,20
649,1,17.2442,0,0,451.822,-0.979424,435.557,10300,208,191.573,435.557,0,5999.64,-61.5008,6305.12,7210,2060,1030,30825,23839,699.543,474.488,0,9802.38,-16.3075,9593.63,6913.31,16925.7,20000,0,0,0,0,474.488,0,474.488,0,0,9593.63,0,285.055,0,9878.69,0,1,0,16183.8,0,0,0,16183.8,20
649,1,15.4877,0,0,185.832,-7.92161,178.266,10300,208,172.059,178.266,0,2503.97,-497.42,3007.6,7210,2060,1030,30825,23839,638.926,195.154,0,4635.8,-120.978,4313.01,6913.31,16925.7,20000,0,0,0,0,195.154,0,195.154,0,0,4313.01,0,202.679,0,4515.68,0,1,0,7523.28,0,0,0,7523.28,20
649,1,13.8096,0,0,147.766,0.372509,133.584,10300,208,153.417,133.584,0,4833.92,23.3909,4790.7,7210,2060,1030,30825,23839,571.253,155.179,0,7378.38,175.743,6786.57,6913.31,16925.7,20000,0,0,0,0,155.179,0,155.179,0,0,6786.57,0,364.882,0,7151.45,0,1,0,11942.2,0,0,0,11942.2,20
649,1,18.3428,0,0,343.487,-0.890038,326.034,10300,208,203.778,326.034,0,9383.5,-55.888,9561.65,7210,2060,1030,30825,23839,738.653,360.719,0,13215.1,-203.511,13040.7,6913.31,16925.7,20000,0,0,0,0,360.719,0,360.719,0,0,13040.7,0,336.798,0,13377.5,0,1,0,22939.2,0,0,0,22939.2,20
649,1,14.4151,0,0,520.79,-3.76948,510.144,10300,208,160.143,510.144,0,14752.8,-236.696,15339.5,7210,2060,1030,30825,23839,683.515,546.916,0,19663,5.8307,19520.6,6913.31,16925.7,20000,0,0,0,0,546.916,0,546.916,0,0,19520.6,0,356.701,0,19877.3,0,1,0,35216.8,0,0,0,35216.8,20
649,1,21.6962,0,0,734.539,3.91765,708.925,10300,208,241.032,708.925,0,12408.7,246,12630.6,7210,2060,1030,30825,23839,792.057,771.389,0,17986.9,-104.521,18070.7,6913.31,16925.7,20000,0,0,0,0,771.389,0,771.389,0,0,18070.7,0,806.595,0,18877.3,0,1,0,31507.9,0,0,0,31507.9,20
649,1,17.1928,0,0,84.7635,-7.45438,75.0251,10300,208,191.001,75.0251,0,441.696,-468.081,793.801,7210,2060,1030,30825,23839,804.157,89.0158,0,1360.35,103.42,541.794,6913.31,16925.7,20000,0,0,0,0,89.0158,0,89.0158,0,0,541.794,0,332.527,0,874.321,0,1,0,1668.12,0,0,0,1668.12,20
649,1,16.2231,0,0,76.132,5.0331,54.8758,10300,208,180.229,54.8758,0,587.624,316.042,146.229,7210,2060,1030,30825,23839,639.413,79.9513,0,1664.38,16.4871,1088.43,6913.31,16925.7,20000,0,0,0,0,79.9513,0,79.9513,0,0,1088.43,0,154.831,0,1243.27,0,1,0,1389.49,0,0,0,1389.49,20
649,1,18.2999,0,0,30.0828,5.33612,6.44675,10300,208,203.301,6.44675,0,678.315,335.07,146.391,7210,2060,1030,30825,23795.1,681.689,31.5919,0,1388.09,291.906,490,6870.78,16924.3,20000,0,0,0,0,31.5919,0,31.5919,0,0,490,0,151.009,0,641.009,0,1,0,787.4,0,0,0,787.4,20
649,1,16.1295,0,0,43.6001,-2.05201,29.5225,10300,208,179.189,29.5225,0,309.307,-128.851,288.492,7210,2060,1030,30825,23309.4,778.984,45.7873,0,807.947,314.284,490,6729.02,16580.4,19756.1,0,0,0,0,45.7873,0,45.7873,0,0,490,0,64.9051,0,554.905,0,1,0,843.397,0,0,0,843.397,20
649,1,16.38,0,0,122.165,-4.27565,110.06,10300,208,181.972,110.06,0,1980.69,-268.48,2177.26,7210,2060,1030,30825,23839,762.188,128.293,0,2964.71,-204.867,1762.23,6913.31,16925.7,20000,0,0,0,0,128.293,0,128.293,0,0,1762.23,0,173.92,0,1936.15,0,1,0,4113.41,0,0,0,4113.41,20
649,1,13.2754,0,0,87.6483,2.70485,71.6681,10300,208,147.481,71.6681,0,1715.57,169.845,1469.91,7210,2060,1030,30825,23839,737.083,92.0454,0,2655.34,-105.606,2115.91,6913.31,16925.7,20000,0,0,0,0,92.0454,0,92.0454,0,0,2115.91,0,134.113,0,2250.02,0,1,0,3719.93,0,0,0,3719.93,20
649,1,17.7,0,0,112.733,5.35553,89.6775,10300,208,196.636,89.6775,0,1131.69,336.289,688.445,7210,2060,1030,30825,23839,632.25,118.389,0,2076.06,-450.628,2012.83,6913.31,16925.7,20000,0,0,0,0,118.389,0,118.389,0,0,2012.83,0,105.216,0,2118.04,0,1,0,2806.49,0,0,0,2806.49,20
649,1,14.5628,0,0,87.146,7.37229,65.211,10065,208,161.784,65.211,0,105.44,462.927,25.85,6996.97,2045.36,1022.68,30580.1,23336.4,663.039,91.5179,0,833.68,630.175,490,6705.85,16630.5,19644.6,0,0,0,0,91.5179,0,91.5179,0,0,490,0,53.2573,0,543.257,0,1,0,569.107,0,0,0,569.107,20
649,1,13.7553,0,0,49.6777,5.69646,30.226,9902.58,208,148.298,30.226,0,271.019,357.696,25.85,6838.78,2042.53,1021.27,30511.9,22809.6,755.074,52.1699,0,772.906,405.191,490,6538,16271.6,19346.2,0,0,0,0,52.1699,0,52.1699,0,0,490,0,77.2994,0,567.299,0,1,0,593.149,0,0,0,593.149,20
648.024,1,15.8359,0,0,11.5373,-3.32238,0,9798.32,208,166.87,0,0,41.3535,-208.622,25.85,6715.74,2055.05,1027.53,30673.4,22109.2,637.688,12.1161,0,175.605,303.176,490,6315.27,15793.9,18803.5,0,0,0,0,12.1161,0,12.1161,0,0,490,0,27.0533,0,517.053,0,1,0,542.903,0,0,0,542.903,20
649,1,14.9487,0,0,21.4521,4.2643,1.26281,9588.35,208,154.919,1.26281,0,46.7298,267.767,25.85,6522.29,2044.04,1022.02,30482.9,21260.2,730.071,22.5282,0,165.226,406.493,490,6071.07,15189.1,18213.7,0,0,0,0,22.5282,0,22.5282,0,0,490,0,31.8079,0,521.808,0,1,0,547.658,0,0,0,547.658,20
649,1,15.8459,0,0,23.1949,-1.41942,8.76839,9468.1,208,159.247,8.76839,0,57.7943,-89.1293,25.85,6390.33,2051.84,1025.92,30573.7,20516.1,709.505,24.3585,0,200.661,288.551,490,5826.39,14689.7,17694.7,0,0,0,0,24.3585,0,24.3585,0,0,490,0,40.056,0,530.056,0,1,0,555.906,0,0,0,555.906,20
649,1,15.6562,0,0,36.9629,3.44363,17.8631,9288.1,208,154.158,17.8631,0,95.2098,216.235,25.85,6218.09,2046.68,1023.34,30470.5,20102.2,589.708,38.8172,0,308.354,23.9285,490,5653.31,14448.9,17352.2,0,0,0,0,38.8172,0,38.8172,0,0,490,0,90.7533,0,580.753,0,1,0,606.603,0,0,0,606.603,20
649,1,15.0116,0,0,73.4061,-5.79002,64.1845,9306.12,208,143.827,64.1845,0,114.414,-363.572,25.85,6216.12,2060,1030,30825,19971.9,556.726,77.0887,0,370.784,-336.337,490,5567.7,14404.2,17219.9,0,0,0,0,77.0887,0,77.0887,0,0,490,0,119.862,0,609.862,0,1,0,635.712,0,0,0,635.712,20
649,1,18.9929,0,0,33.1304,7.62808,6.50942,9037.61,208,181.914,6.50942,0,126.716,478.988,25.85,5973.59,2042.68,1021.34,30540,19765.5,622.875,34.7924,0,456.093,-274.956,490,5486.61,14278.8,17079.3,0,0,0,0,34.7924,0,34.7924,0,0,490,0,108.643,0,598.643,0,1,0,624.493,0,0,0,624.493,20
649,1,15.7714,0,0,24.6038,6.9642,1.86816,8803.17,208,145.165,1.86816,0,78.9873,437.301,25.85,5765.93,2024.83,1012.41,30247,19214.8,644.893,25.8381,0,291.143,143.714,490,5310.01,13904.8,16668.4,0,0,0,0,25.8381,0,25.8381,0,0,490,0,87.5515,0,577.551,0,1,0,603.401,0,0,0,603.401,20
649,1,14.9644,0,0,24.0692,3.34527,5.75947,9390.88,208,132.949,5.75947,0,1528.85,210.059,25.85,6300.88,2060,1030,30825,19577.9,683.616,25.2767,0,1968,68.4192,490,5418.19,14159.7,17056.5,0,0,0,0,25.2767,0,25.2767,0,0,490,0,59.273,0,549.273,0,1,0,575.123,0,0,0,575.123,20
646.362,1,20.4203,0,0,17.537,-0.245554,0,9567.79,208,198.253,0,0,385.588,-15.419,25.85,6477.79,2060,1030,30825,19171.9,661.977,18.4168,0,610.288,157.999,490,5297.07,13874.8,16781.3,0,0,0,0,18.4168,0,18.4168,0,0,490,0,48.1832,0,538.183,0,1,0,564.033,0,0,0,564.033,20
627.537,1,16.6501,0,0,3.03838,5.21351,0,9319.95,208,166.866,0,0,4.07664,327.371,25.85,6254.24,2043.81,1021.9,30556.8,18484.5,565.175,3.19081,0,22.0811,249.907,357,5049.08,13435.5,16321.8,0,0,0,0,3.19081,0,3.19081,0,0,357,0,5.59699,0,362.597,0,1,0,388.447,0,0,0,388.447,20
613.621,1,14.9768,0,0,4.62102,3.56022,0,9115.47,208,149.263,0,0,3.08923,223.556,25.85,6066.33,2032.76,1016.38,30365.7,17994.7,528.332,4.85284,0,16.3623,-49.5623,357,4864.28,13130.4,15997.1,0,0,0,0,4.85284,0,4.85284,0,0,357,0,3.52286,0,360.523,0,1,0,386.373,0,0,0,386.373,20
607.991,1,16.5269,0,0,2.74654,-8.15008,0,9081.75,208,163.387,0,0,5.95937,-511.767,25.85,5993.71,2058.7,1029.35,30727.9,17432.9,588.022,2.88433,0,18.5414,-26.8284,357,4672.3,12760.6,15662.1,0,0,0,0,2.88433,0,2.88433,0,0,357,0,15.4418,0,372.442,0,1,0,398.292,0,0,0,398.292,20
589.075,1,14.9568,0,0,1.63747,5.59653,0,8847.18,208,147.447,0,0,3.56119,351.422,25.85,5785.27,2041.27,1020.64,30441.3,16730.8,522.305,1.71961,0,6.37114,338.768,357,4446.31,12284.5,15154.2,0,0,0,0,1.71961,0,1.71961,0,0,357,0,2.49385,0,359.494,0,1,0,385.344,0,0,0,385.344,20
572.379,1,11.5953,0,0,1.62973,6.73078,0,8630.73,208,113.877,0,0,13.0804,422.644,25.85,5599.59,2020.76,1010.38,30108.5,16077.6,515.51,1.71149,0,19.3402,274.315,357,4244.75,11832.8,14681.7,0,0,0,0,1.71149,0,1.71149,0,0,357,0,2.9879,0,359.988,0,1,0,385.838,0,0,0,385.838,20
557.366,1,12.3907,0,0,2.94115,5.5633,0,8428.1,208,121.219,0,0,24.2984,349.335,25.85,5421.39,2004.47,1002.24,29839,15691.1,527.027,3.0887,0,31.993,-223.342,357,4114.5,11576.6,14442.6,0,0,0,0,3.0887,0,3.0887,0,0,357,0,20.2114,0,377.211,0,1,0,403.061,0,0,0,403.061,20
545.219,1,14.1009,0,0,0.6191,-1.33511,0,8323.67,208,137.157,0,0,46.8247,-83.8354,25.85,5307.14,2011.02,1005.51,29911.1,15053.6,556.923,0.65015,0,50.1922,199.009,357,3914.12,11139.4,14018,0,0,0,0,0.65015,0,0.65015,0,0,357,0,3.9635,0,360.964,0,1,0,386.814,0,0,0,386.814,20
534.374,1,12.67,0,0,3.74713,1.92226,0,8193.2,208,123.33,0,0,92.2094,120.704,25.85,5178.81,2009.59,1004.8,29863.9,14467.6,545.943,3.93511,0,131.54,209.086,357,3717.97,10749.6,13627.4,0,0,0,0,3.93511,0,3.93511,0,0,357,0,9.74886,0,366.749,0,1,0,392.599,0,0,0,392.599,20
519.036,1,16.2463,0,0,1.32916,0.420959,0,8060.69,208,157.449,0,0,126.011,26.4332,25.85,5038.82,2014.58,1007.29,29912.7,13957.7,661.171,1.39585,0,192.5,-84.2106,357,3521.76,10435.9,13397.3,0,0,0,0,1.39585,0,1.39585,0,0,357,0,22.1151,0,379.115,0,1,0,404.965,0,0,0,404.965,20
504.465,1,13.3038,0,0,2.62297,3.89,0,7885.72,208,129.154,0,0,61.3232,244.264,25.85,4877.6,2005.42,1002.71,29749.7,13804.2,552.661,2.75456,0,123.708,-607.735,357,3468.87,10335.4,13375.2,0,0,0,0,2.75456,0,2.75456,0,0,357,0,32.8548,0,389.855,0,1,0,415.705,0,0,0,415.705,20
505.226,1,13.9152,0,0,16.4789,1.80325,0,7769.38,208,134.544,0,0,185.913,113.231,25.85,4755.8,2009.06,1004.53,29778.4,13414,562.739,17.3057,0,255.361,-44.5301,357,3348.51,10065.5,13162.9,0,0,0,0,17.3057,0,17.3057,0,0,357,0,46.6629,0,403.663,0,1,0,429.513,0,0,0,429.513,20
503.75,1,15.0651,0,0,15.2048,1.615,0,7643.03,208,141.811,0,0,163.128,101.41,25.85,4624.81,2012.15,1006.07,29798.8,13026,574.265,15.9676,0,226.478,-100.099,357,3215.74,9810.25,12962.2,0,0,0,0,15.9676,0,15.9676,0,0,357,0,84.2016,0,441.202,0,1,0,467.052,0,0,0,467.052,20
488.586,1,15.4875,0,0,2.94872,2.62544,0,7474.19,208,142.187,0,0,58.4461,164.859,25.85,4463.96,2006.82,1003.41,29693.2,12562.2,519.143,3.09665,0,160.035,61.3814,357,3021.97,9540.21,12651.6,0,0,0,0,3.09665,0,3.09665,0,0,357,0,20.0436,0,377.044,0,1,0,402.894,0,0,0,402.894,20
474.383,1,14.3021,0,0,3.16374,3.06511,0,7337,208,130.671,0,0,166.433,192.467,25.85,4328.73,2005.51,1002.76,29647.8,12164.7,583.913,3.32246,0,246.168,-93.2692,357,2888.79,9275.87,12451,0,0,0,0,3.32246,0,3.32246,0,0,357,0,29.1703,0,386.17,0,1,0,412.02,0,0,0,412.02,20
464.83,1,14.8192,0,0,5.94036,0.673748,0,7369.72,208,135.225,0,0,712.871,42.3065,25.85,4311.06,2039.1,1019.55,30124.6,12020.3,547.475,6.23837,0,953.112,218.029,357,2819.37,9200.93,12432.2,0,0,0,0,6.23837,0,6.23837,0,0,357,0,70.6501,0,427.65,0,1,0,453.5,0,0,0,453.5,20
468.581,1,13.3639,0,0,16.4492,-0.665354,0,7717.85,208,123.944,0,0,1156.59,-41.7794,25.85,4627.85,2060,1030,30825,12398.7,595.42,17.2744,0,1758.04,-15.4262,357,2929.77,9468.89,12892.2,0,0,0,0,17.2744,0,17.2744,0,0,357,0,108.758,0,465.758,0,1,0,491.608,0,0,0,491.608,20
464.856,1,15.0541,0,0,11.8,0.470789,0,9238.54,208,148.679,0,0,1724.79,29.5621,25.85,6148.54,2060,1030,30825,13015.2,603.923,12.392,0,2173.19,-58.8432,357,3099.26,9915.96,13559.1,0,0,0,0,12.392,0,12.392,0,0,357,0,180.601,0,537.601,0,1,0,563.451,0,0,0,563.451,20
512.945,1,11.7078,0,0,59.7423,-0.0552225,0,10300,208,154.857,0,0,6520.14,-3.46758,5307.3,7210,2060,1030,30825,16604.6,596.946,62.7394,0,7717.74,82.0389,357,4113.11,12491.5,16714.3,0,0,0,0,62.7394,0,62.7394,0,0,357,0,185.958,0,542.958,0,1,0,5850.26,0,0,0,5850.26,20
550.323,1,10.6845,0,0,47.7399,-0.322491,0,10300,208,150.182,0,0,1453.32,-20.2501,1323.38,7210,2060,1030,30825,17339.8,536.589,50.1348,0,2216.81,-71.8296,357,4321.52,13018.3,17424.2,0,0,0,0,50.1348,0,50.1348,0,0,357,0,201.602,0,558.602,0,1,0,1881.99,0,0,0,1881.99,20
545.697,1,10.8818,0,0,2.93558,-3.32015,0,10300,208,142.566,0,0,237.732,-208.481,303.647,7210,2060,1030,30825,16949.1,484.898,3.08284,0,273.585,103.444,357,4177.24,12771.8,17146.3,0,0,0,0,3.08284,0,3.08284,0,0,357,0,89.5704,0,446.57,0,1,0,750.217,0,0,0,750.217,20
617.942,1,10.9451,0,0,77.8758,-5.31361,0,10300,208,144.612,0,0,3277.14,-333.656,3466.18,7210,2060,1030,30825,18777.1,594.987,81.7827,0,4076.42,-297.579,357,4686.31,14090.8,18822.1,0,0,0,0,81.7827,0,81.7827,0,0,357,0,562.37,0,919.37,0,1,0,4385.55,0,0,0,4385.55,20
649,1,11.957,0,0,60.5005,-1.26784,18.753,10300,208,139.511,18.753,0,2282.99,-79.6115,2241.84,7210,2060,1030,30825,20201.2,592.027,63.5357,0,3272.91,-214.682,357,5068.74,15132.5,20000,0,0,0,0,63.5357,0,63.5357,0,0,357,0,794.622,0,1151.62,0,1,0,3393.46,0,0,0,3393.46,20
