0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,11.8428,0,0,133.802,3.81951,118.14,10300,96,131.567,118.14,0,2388.3,239.838,2135.04,7210,2060,1030,30825,23839,541.041,140.515,0,3829.06,-634.175,4062.71,6913.31,16925.7,20000,0,0,0,0,140.515,0,140.515,0,0,4062.71,0,112.77,0,4175.48,0,1,0,6310.51,0,0,0,6310.51,20
649,1,12.1609,0,0,497.715,2.17014,483.384,10300,96,135.1,483.384,0,9868.4,136.269,10080.4,7210,2060,1030,30825,23839,545.259,522.684,0,13481.1,-132.53,13591.1,6913.31,16925.7,20000,0,0,0,0,522.684,0,522.684,0,0,13591.1,0,379.88,0,13971,0,1,0,24051.4,0,0,0,24051.4,20
649,1,13.3627,0,0,613.937,-6.99278,607.567,10300,96,148.451,607.567,0,11700,-439.096,12598.2,7210,2060,1030,30825,23839,622.104,644.736,0,15918.8,-253.602,16195.1,6913.31,16925.7,20000,0,0,0,0,644.736,0,644.736,0,0,16195.1,0,761.9,0,16957,0,1,0,29555.2,0,0,0,29555.2,20
649,1,13.3155,0,0,106.175,-0.78366,93.643,10300,96,147.927,93.643,0,1794.7,-49.2082,1789.62,7210,2060,1030,30825,23839,541.358,111.501,0,2552.2,112.521,2009.82,6913.31,16925.7,20000,0,0,0,0,111.501,0,111.501,0,0,2009.82,0,153.37,0,2163.19,0,1,0,3952.82,0,0,0,3952.82,20
649,1,11.7409,0,0,512.187,3.43612,497.01,10300,96,130.434,497.01,0,9467.4,215.763,9618.21,7210,2060,1030,30825,23839,536.032,537.882,0,13062,-338.162,13402,6913.31,16925.7,20000,0,0,0,0,537.882,0,537.882,0,0,13402,0,670.33,0,14072.4,0,1,0,23690.6,0,0,0,23690.6,20
649,1,12.0272,0,0,114.786,-1.32621,104.085,10300,96,133.615,104.085,0,1600.1,-83.2762,1653.85,7210,2060,1030,30825,23839,567.537,120.545,0,2532.04,-66.3294,2151.38,6913.31,16925.7,20000,0,0,0,0,120.545,0,120.545,0,0,2151.38,0,271.49,0,2422.87,0,1,0,4076.71,0,0,0,4076.71,20
649,1,12.7503,0,0,109.135,3.97868,92.406,10300,96,141.648,92.406,0,1532.1,249.833,1233.03,7210,2060,1030,30825,23839,543.061,114.61,0,2385.97,51.3872,1906.13,6913.31,16925.7,20000,0,0,0,0,114.61,0,114.61,0,0,1906.13,0,205.55,0,2111.68,0,1,0,3344.71,0,0,0,3344.71,20
649,1,10.2788,0,0,87.0987,-0.120564,76.9405,10300,96,114.191,76.9405,0,1175.7,-7.57053,1146.02,7210,2060,1030,30825,23839,544.468,91.4682,0,1862.48,88.7234,1320.76,6913.31,16925.7,20000,0,0,0,0,91.4682,0,91.4682,0,0,1320.76,0,137.76,0,1458.52,0,1,0,2604.54,0,0,0,2604.54,20
649,1,12.3651,0,0,108.387,-9.3775,105.4,10300,96,137.369,105.4,0,1511.6,-588.84,2068.47,7210,2060,1030,30825,23839,595.733,113.825,0,2435.24,-75.6436,2028.98,6913.31,16925.7,20000,0,0,0,0,113.825,0,113.825,0,0,2028.98,0,174.77,0,2203.75,0,1,0,4272.22,0,0,0,4272.22,20
649,1,14.258,0,0,227.871,2.72784,210.885,10300,96,158.397,210.885,0,5482.74,171.289,5363.94,7210,2060,1030,30825,23839,528.68,239.302,0,7386.3,-311.476,7408.4,6913.31,16925.7,20000,0,0,0,0,239.302,0,239.302,0,0,7408.4,0,276.871,0,7685.27,0,1,0,13049.2,0,0,0,13049.2,20
649,1,11.7849,0,0,909.399,-0.972622,898.587,10300,96,130.923,898.587,0,17901.1,-61.0736,18729.8,7210,2060,1030,30825,23839,584.496,955.021,0,23200,-952.21,24522.7,6913.31,16925.7,20000,0,0,0,0,955.021,0,955.021,0,0,24522.7,0,570.634,0,25093.3,0,1,0,43823.1,0,0,0,43823.1,20
649,1,12.7214,0,0,126.438,-6.07449,119.791,10300,96,141.327,119.791,0,2136.08,-381.434,2495.98,7210,2060,1030,30825,23839,596.024,132.781,0,3802.98,-140.942,3480.67,6913.31,16925.7,20000,0,0,0,0,132.781,0,132.781,0,0,3480.67,0,153.62,0,3634.29,0,1,0,6130.27,0,0,0,6130.27,20
649,1,10.916,0,0,853.544,-2.81771,845.445,10300,96,121.27,845.445,0,10618.9,-176.932,11520,7210,2060,1030,30825,23839,546.664,896.363,0,16074.3,-753.323,17177.3,6913.31,16925.7,20000,0,0,0,0,896.363,0,896.363,0,0,17177.3,0,766.958,0,17944.3,0,1,0,29464.3,0,0,0,29464.3,20
649,1,13.9386,0,0,139.723,-11.3817,137.167,10300,96,154.849,137.167,0,3706.59,-714.69,4403.6,7210,2060,1030,30825,23839,569.289,146.733,0,5611.48,107.771,5081.15,6913.31,16925.7,20000,0,0,0,0,146.733,0,146.733,0,0,5081.15,0,374.605,0,5455.76,0,1,0,9859.36,0,0,0,9859.36,20
649,1,13.1175,0,0,542.274,-3.3433,532.5,10300,96,145.728,532.5,0,17898.8,-209.935,18495.5,7210,2060,1030,30825,23839,547.211,569.479,0,22752.3,-307.341,23081.9,6913.31,16925.7,20000,0,0,0,0,569.479,0,569.479,0,0,23081.9,0,706.19,0,23788.1,0,1,0,42283.5,0,0,0,42283.5,20
649,1,14.1887,0,0,562.075,1.8242,546.062,10300,96,157.628,546.062,0,17904.6,114.547,18178.5,7210,2060,1030,30825,23839,506.389,590.272,0,22880.8,-117.68,23082.3,6913.31,16925.7,20000,0,0,0,0,590.272,0,590.272,0,0,23082.3,0,1141.49,0,24223.8,0,1,0,42402.3,0,0,0,42402.3,20
649,1,12.7521,0,0,118.407,0.554609,105.1,10300,96,141.668,105.1,0,3214.61,34.8255,3143.22,7210,2060,1030,30825,23839,583.167,124.347,0,5027.42,-191.553,4760.15,6913.31,16925.7,20000,0,0,0,0,124.347,0,124.347,0,0,4760.15,0,233.523,0,4993.67,0,1,0,8136.89,0,0,0,8136.89,20
649,1,16.9051,0,0,774.268,-5.13088,762.494,10300,96,187.805,762.494,0,20744.1,-322.182,21640.9,7210,2060,1030,30825,23839,528.012,813.111,0,28801.4,-328.641,29415.2,6913.31,16925.7,20000,0,0,0,0,813.111,0,813.111,0,0,29415.2,0,1018.25,0,30433.4,0,1,0,52074.4,0,0,0,52074.4,20
649,1,15.2699,0,0,421.813,-2.48516,409.028,10300,96,169.639,409.028,0,10308.5,-156.05,10703.9,7210,2060,1030,30825,23839,589.801,442.974,0,14826.2,-114.318,14793.7,6913.31,16925.7,20000,0,0,0,0,442.974,0,442.974,0,0,14793.7,0,971.664,0,15765.3,0,1,0,26469.2,0,0,0,26469.2,20
649,1,14.0418,0,0,1663.68,-7.08028,1656.72,10300,96,155.996,1656.72,0,13330.5,-444.591,15275.8,7210,2060,1030,30825,23839,580.964,1747.14,0,21273.1,-82.2554,22521.5,6913.31,16925.7,20000,0,0,0,0,1747.14,0,1747.14,0,0,22521.5,0,430.694,0,22952.2,0,1,0,38228,0,0,0,38228,20
649,1,17.6726,0,0,126.637,2.96219,106.002,10300,96,196.332,106.002,0,4636.23,186.004,4359.9,7210,2060,1030,30825,23839,663.181,132.99,0,7381.6,-6.70596,6858.12,6913.31,16925.7,20000,0,0,0,0,132.99,0,132.99,0,0,6858.12,0,281.437,0,7139.55,0,1,0,11499.4,0,0,0,11499.4,20
649,1,12.8111,0,0,728.526,-6.52837,722.243,10300,96,142.323,722.243,0,11325,-409.934,12314.9,7210,2060,1030,30825,23839,625.989,765.074,0,18841.8,-476.137,19457,6913.31,16925.7,20000,0,0,0,0,765.074,0,765.074,0,0,19457,0,725.466,0,20182.5,0,1,0,32497.4,0,0,0,32497.4,20
