Realization	utility	week	infra.
0	0	1356	4
1	0	1200	4
2	0	1461	4
3	0	1148	4
4	0	1252	4
5	0	991	6
5	0	1148	4
6	0	1461	4
7	0	1148	4
8	0	1461	4
9	0	782	6
9	0	1043	7
9	0	1252	4
0	1	1200	3
1	1	1200	3
2	1	1200	3
3	1	1200	3
4	1	1200	3
5	1	1200	3
6	1	1200	3
7	1	1200	3
8	1	1200	3
9	1	1200	3
0	2	1356	4
1	2	1200	4
2	2	1461	4
3	2	1148	4
4	2	1252	4
5	2	1148	4
6	2	1461	4
7	2	1148	4
8	2	1461	4
9	2	1252	4
