0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,13.2413,0,0,576.209,1.63959,561.329,10300,147.103,561.329,0,5768.66,102.954,6079.93,7210,2060,1030,30825,23839,631.167,605.116,0,12755.2,-166.275,12895.4,6913.31,16925.7,20000,0,0,0,0,605.116,0,605.116,0,0,12895.4,0,591.342,0,13486.7,0,1,0,19566.7,0,0,0,19566.7,20
649,1,15.598,0,0,154.223,6.34808,132.277,10300,173.285,132.277,0,2188.7,398.614,1749.08,7210,2060,1030,30825,23839,657.676,161.96,0,6562.61,-0.668536,6067.57,6913.31,16925.7,20000,0,0,0,0,161.96,0,161.96,0,0,6067.57,0,766.723,0,6834.29,0,1,0,8583.37,0,0,0,8583.37,20
649,1,14.6447,0,0,271.822,1.69937,255.478,10300,162.694,255.478,0,2052.23,106.708,2038.3,7210,2060,1030,30825,23839,708.33,285.459,0,8724.04,84.5874,8216.58,6913.31,16925.7,20000,0,0,0,0,285.459,0,285.459,0,0,8216.58,0,743.471,0,8960.05,0,1,0,10998.4,0,0,0,10998.4,20
649,1,17.1259,0,0,533.618,0.415107,516.077,10300,190.258,516.077,0,2794.84,26.0657,3094.59,7210,2060,1030,30825,23839,568.38,560.388,0,10402.4,-724.118,11118.5,6913.31,16925.7,20000,0,0,0,0,560.388,0,560.388,0,0,11118.5,0,339.038,0,11457.5,0,1,0,14552.1,0,0,0,14552.1,20
649,1,14.5326,0,0,938.165,-7.36407,930.997,10300,161.448,930.997,0,6216.17,-462.411,7448.13,7210,2060,1030,30825,23839,648.08,985.23,0,15926.6,10.0883,16253.7,6913.31,16925.7,20000,0,0,0,0,985.23,0,985.23,0,0,16253.7,0,928.46,0,17182.2,0,1,0,24630.3,0,0,0,24630.3,20
649,1,13.6093,0,0,66.4452,1.79965,51.0362,10300,151.192,51.0362,0,819.514,113.005,606.353,7210,2060,1030,30825,23839,779.18,69.7785,0,2818.86,-298.939,2408.39,6913.31,16925.7,20000,0,0,0,0,69.7785,0,69.7785,0,0,2408.39,0,159.929,0,2568.32,0,1,0,3174.68,0,0,0,3174.68,20
649,1,13.8566,0,0,278.387,2.06056,262.47,10300,153.939,262.47,0,1414.37,129.388,1393.51,7210,2060,1030,30825,23839,703.422,292.353,0,7482.53,-472.824,7544.29,6913.31,16925.7,20000,0,0,0,0,292.353,0,292.353,0,0,7544.29,0,133.896,0,7678.19,0,1,0,9071.69,0,0,0,9071.69,20
649,1,14.5987,0,0,369.382,-0.604688,355.388,10300,162.183,355.388,0,1812.17,-37.9701,2043.34,7210,2060,1030,30825,23839,738.187,387.913,0,8248.27,211.498,7686.5,6913.31,16925.7,20000,0,0,0,0,387.913,0,387.913,0,0,7686.5,0,293.428,0,7979.93,0,1,0,10023.3,0,0,0,10023.3,20
649,1,18.9963,0,0,167.275,-1.89586,150.175,10300,211.038,150.175,0,1602.74,-119.046,1660.92,7210,2060,1030,30825,23839,858.493,175.667,0,5419.82,298.702,4438.29,6913.31,16925.7,20000,0,0,0,0,175.667,0,175.667,0,0,4438.29,0,399.859,0,4838.15,0,1,0,6499.07,0,0,0,6499.07,20
649,1,18.4149,0,0,394.963,4.99518,371.553,10300,204.579,371.553,0,1611.75,313.661,1465.06,7210,2060,1030,30825,23839,757.12,414.777,0,8100.93,119.005,7639.58,6913.31,16925.7,20000,0,0,0,0,414.777,0,414.777,0,0,7639.58,0,623.13,0,8262.71,0,1,0,9727.77,0,0,0,9727.77,20
649,1,16.8264,0,0,635.979,4.54337,614.609,10300,186.931,614.609,0,2125.7,285.291,2268.08,7210,2060,1030,30825,23839,722.931,667.884,0,5229.23,43.3489,5130.83,6913.31,16925.7,20000,0,0,0,0,667.884,0,667.884,0,0,5130.83,0,415.375,0,5546.21,0,1,0,7814.29,0,0,0,7814.29,20
649,1,17.0765,0,0,205.811,4.73171,184.003,10300,189.71,184.003,0,610.102,297.117,307.278,7210,2060,1030,30825,23839,788.148,216.136,0,1644.04,-209.736,1281.76,6913.31,16925.7,20000,0,0,0,0,216.136,0,216.136,0,0,1281.76,0,150.765,0,1432.53,0,1,0,1739.81,0,0,0,1739.81,20
649,1,20.4292,0,0,99.5461,1.92123,77.1958,10300,226.956,77.1958,0,1926.32,120.639,1655.92,7210,2060,1030,30825,23839,868.468,104.54,0,2986.95,335.871,1887.15,6913.31,16925.7,20000,0,0,0,0,104.54,0,104.54,0,0,1887.15,0,43.1704,0,1930.32,0,1,0,3586.24,0,0,0,3586.24,20
649,1,15.3317,0,0,89.307,2.08974,71.8855,10300,170.326,71.8855,0,1141.61,131.221,911.949,7210,2060,1030,30825,23839,753.075,93.7873,0,1953.18,-64.5073,1358.4,6913.31,16925.7,20000,0,0,0,0,93.7873,0,93.7873,0,0,1358.4,0,34.1852,0,1392.58,0,1,0,2304.53,0,0,0,2304.53,20
649,1,16.868,0,0,126.945,3.28627,106.791,10300,187.394,106.791,0,2695.35,206.354,2408.4,7210,2060,1030,30825,23839,846.679,133.313,0,4165.18,218.199,3233.62,6913.31,16925.7,20000,0,0,0,0,133.313,0,133.313,0,0,3233.62,0,62.287,0,3295.91,0,1,0,5704.3,0,0,0,5704.3,20
649,1,15.7349,0,0,122.287,7.57162,98.9807,10300,174.805,98.9807,0,2360.95,475.443,1809.68,7210,2060,1030,30825,23839,691.515,128.422,0,4472.98,-831.611,4741.5,6913.31,16925.7,20000,0,0,0,0,128.422,0,128.422,0,0,4741.5,0,384.442,0,5125.94,0,1,0,6935.63,0,0,0,6935.63,20
649,1,18.7081,0,0,181.324,2.43034,160.186,10300,207.835,160.186,0,7255.3,152.608,7055.04,7210,2060,1030,30825,23839,742.022,190.421,0,13073.2,-1407.17,13928.8,6913.31,16925.7,20000,0,0,0,0,190.421,0,190.421,0,0,13928.8,0,361.53,0,14290.3,0,1,0,21345.4,0,0,0,21345.4,20
649,1,19.7344,0,0,513.781,6.78388,487.263,10300,219.238,487.263,0,8979.59,425.979,8821.63,7210,2060,1030,30825,23839,779.918,539.556,0,11851.4,-111.181,11722.2,6913.31,16925.7,20000,0,0,0,0,539.556,0,539.556,0,0,11722.2,0,318.159,0,12040.4,0,1,0,20862,0,0,0,20862,20
